snapshot_update,case_id,env_id,checkpoint,episode_return,episode_length,action_abs_max,target_joint_limit_steps,actual_joint_limit_steps,target_joint_max_excess_rad,actual_joint_max_excess_rad,self_collision_steps,self_collision_max_N,confirmed_nonfoot_ground_steps,confirmed_nonfoot_ground_max_N,foot_ground_steps,nonfinite,primary_fall,height_failure,tilt_failure,timeout,episode_seconds,velocity_tracking_error_mean,velocity_tracking_mean,command_x_mean,command_y_mean,actual_x_mean,actual_y_mean,action_abs_mean,seed,observation_noise_seed
5,case_02,0,/home/xiexuhui/InstinctLab/logs/e1-d4/action_distribution_20260924_091000/train/20260924_090620_G1ResearchPrimaryFall_E1_D4_Research_s42/snapshot_update_005.pt,-3.5800954630831257,43,0.2581574022769928,0,0,0.0,0.0,4,37.24952697753906,0,0.0,41,False,True,True,False,False,0.86,0.6915101166381392,0.24212416718432375,0.1476806104183197,0.29520702362060547,-0.22425347358681436,0.8506301655325779,0.06537245335273964,12345,991805
5,case_03,0,/home/xiexuhui/InstinctLab/logs/e1-d4/action_distribution_20260924_091000/train/20260924_090620_G1ResearchPrimaryFall_E1_D4_Research_s42/snapshot_update_005.pt,-4.309011063596699,45,0.27572035789489746,0,0,0.0,0.0,1,1.0923912525177002,0,0.0,42,False,True,True,False,False,0.9,1.4714752144283718,0.002201446837560815,0.5260745286941528,-0.4813744127750397,-0.9043410155508254,-0.1901750127474467,0.08148132463296255,12345,1096534
5,case_04,0,/home/xiexuhui/InstinctLab/logs/e1-d4/action_distribution_20260924_091000/train/20260924_090620_G1ResearchPrimaryFall_E1_D4_Research_s42/snapshot_update_005.pt,-4.150165087194182,54,0.26121076941490173,0,0,0.0,0.0,2,1.686661958694458,0,0.0,52,False,True,True,False,False,1.08,0.7779212621627031,0.2637110496377351,-0.08083921670913696,0.10173231363296509,-0.6377125194779149,-0.4310455294670882,0.06984032221414425,12345,1201263
5,case_05,0,/home/xiexuhui/InstinctLab/logs/e1-d4/action_distribution_20260924_091000/train/20260924_090620_G1ResearchPrimaryFall_E1_D4_Research_s42/snapshot_update_005.pt,-3.658978517691139,64,0.264428973197937,0,0,0.0,0.0,1,2.392425537109375,0,0.0,62,False,True,True,False,False,1.28,1.431921200826764,0.004350979800747286,0.8210498094558716,0.23905354738235474,-0.4107902618125081,-0.45314212050288916,0.07555934868287295,12345,1305992
5,case_06,0,/home/xiexuhui/InstinctLab/logs/e1-d4/action_distribution_20260924_091000/train/20260924_090620_G1ResearchPrimaryFall_E1_D4_Research_s42/snapshot_update_005.pt,-4.173089903270011,54,0.2543278634548187,0,0,0.0,0.0,1,11.816641807556152,0,0.0,52,False,True,True,False,False,1.08,1.1987603395073503,0.01588927255776677,0.6192426681518555,0.16252392530441284,-0.5043304024471177,0.5132931233556183,0.07327909381301315,12345,1410721
5,case_07,0,/home/xiexuhui/InstinctLab/logs/e1-d4/action_distribution_20260924_091000/train/20260924_090620_G1ResearchPrimaryFall_E1_D4_Research_s42/snapshot_update_005.pt,-3.4924265993759036,51,0.26660919189453125,0,0,0.0,0.0,1,84.85543060302734,0,0.0,51,False,True,True,False,False,1.02,0.7345098403154635,0.32247018457443727,-0.22490160167217255,0.17261964082717896,-0.5740257711971507,-0.4594508942727949,0.06340199036925447,12345,1515450
10,case_00,0,/home/xiexuhui/InstinctLab/logs/e1-d4/action_distribution_20260924_091000/train/20260924_090620_G1ResearchPrimaryFall_E1_D4_Research_s42/snapshot_update_010.pt,-3.363894620211795,69,0.31590238213539124,0,12,0.0,0.0015621781349182129,2,23.532978057861328,0,0.0,67,False,True,True,True,False,1.3800000000000001,0.5706894950050375,0.4469514929190062,0.4316028952598572,-0.11672234535217285,0.578553532074759,-0.26502521228099213,0.06441216278767241,12345,782347
10,case_01,0,/home/xiexuhui/InstinctLab/logs/e1-d4/action_distribution_20260924_091000/train/20260924_090620_G1ResearchPrimaryFall_E1_D4_Research_s42/snapshot_update_010.pt,-2.953007024851104,70,0.27495789527893066,0,0,0.0,0.0,8,42.517093658447266,0,0.0,68,False,True,True,False,False,1.4000000000000001,0.5424139176096235,0.3333849550357887,0.2939290404319763,0.4875432252883911,-0.1401478288429124,0.4862252897449902,0.06696769706904888,12345,887076
10,case_02,0,/home/xiexuhui/InstinctLab/logs/e1-d4/action_distribution_20260924_091000/train/20260924_090620_G1ResearchPrimaryFall_E1_D4_Research_s42/snapshot_update_010.pt,-3.581042838981375,43,0.22687950730323792,0,0,0.0,0.0,6,100.42855834960938,0,0.0,41,False,True,True,False,False,0.86,0.702838946913564,0.2340795582073719,0.1476806104183197,0.29520702362060547,-0.23272221102270968,0.8588151848593424,0.06618570250480674,12345,991805
10,case_03,0,/home/xiexuhui/InstinctLab/logs/e1-d4/action_distribution_20260924_091000/train/20260924_090620_G1ResearchPrimaryFall_E1_D4_Research_s42/snapshot_update_010.pt,-4.310703495400958,45,0.27653270959854126,0,0,0.0,0.0,1,0.8847413659095764,0,0.0,41,False,True,True,False,False,0.9,1.4688002003563776,0.0022363638116871696,0.5260745286941528,-0.4813744127750397,-0.9014368812243144,-0.19041357570224338,0.08161294675535626,12345,1096534
10,case_04,0,/home/xiexuhui/InstinctLab/logs/e1-d4/action_distribution_20260924_091000/train/20260924_090620_G1ResearchPrimaryFall_E1_D4_Research_s42/snapshot_update_010.pt,-4.161316763609648,54,0.2647530436515808,0,0,0.0,0.0,3,72.51948547363281,0,0.0,52,False,True,True,False,False,1.08,0.7630886159561299,0.26804054269120603,-0.08083921670913696,0.10173231363296509,-0.6546415708683155,-0.39500790862021623,0.06735696678084356,12345,1201263
10,case_05,0,/home/xiexuhui/InstinctLab/logs/e1-d4/action_distribution_20260924_091000/train/20260924_090620_G1ResearchPrimaryFall_E1_D4_Research_s42/snapshot_update_010.pt,-3.6210256605409086,65,0.2859388291835785,0,0,0.0,0.0,1,1.4166995286941528,0,0.0,63,False,True,True,False,False,1.3,1.43608039525839,0.004388075549333897,0.8210498094558716,0.23905354738235474,-0.4276209544677001,-0.4360789106442378,0.07402233997216591,12345,1305992
10,case_06,0,/home/xiexuhui/InstinctLab/logs/e1-d4/action_distribution_20260924_091000/train/20260924_090620_G1ResearchPrimaryFall_E1_D4_Research_s42/snapshot_update_010.pt,-4.21109765068104,54,0.281110942363739,0,0,0.0,0.0,1,19.186725616455078,0,0.0,52,False,True,True,False,False,1.08,1.2044980073416676,0.015793018102166805,0.6192426681518555,0.16252392530441284,-0.5136582255363464,0.5084822368290689,0.07326698082464712,12345,1410721
10,case_07,0,/home/xiexuhui/InstinctLab/logs/e1-d4/action_distribution_20260924_091000/train/20260924_090620_G1ResearchPrimaryFall_E1_D4_Research_s42/snapshot_update_010.pt,-3.4729195024701767,52,0.29654574394226074,0,0,0.0,0.0,2,57.16121292114258,0,0.0,52,False,True,True,False,False,1.04,0.7452864506496832,0.3185315197852805,-0.22490160167217255,0.17261964082717896,-0.5680459359517465,-0.47609070129692554,0.06189617041784983,12345,1515450
20,case_00,0,/home/xiexuhui/InstinctLab/logs/e1-d4/action_distribution_20260924_091000/train/20260924_090620_G1ResearchPrimaryFall_E1_D4_Research_s42/snapshot_update_020.pt,-3.355148152797483,69,0.2972586154937744,0,12,0.0,0.004243969917297363,2,1.7858023643493652,0,0.0,67,False,True,True,True,False,1.3800000000000001,0.56910239705357,0.45189606890958006,0.4316028952598572,-0.11672234535217285,0.582520005117724,-0.263050870510979,0.06365046639373337,12345,782347
20,case_01,0,/home/xiexuhui/InstinctLab/logs/e1-d4/action_distribution_20260924_091000/train/20260924_090620_G1ResearchPrimaryFall_E1_D4_Research_s42/snapshot_update_020.pt,-2.921572601495427,71,0.33602139353752136,0,0,0.0,0.0,8,55.70975112915039,0,0.0,69,False,True,True,False,False,1.42,0.5399051673815284,0.3402034359079012,0.2939290404319763,0.4875432252883911,-0.13354238636896643,0.4888738693905548,0.07184234429413164,12345,887076
20,case_02,0,/home/xiexuhui/InstinctLab/logs/e1-d4/action_distribution_20260924_091000/train/20260924_090620_G1ResearchPrimaryFall_E1_D4_Research_s42/snapshot_update_020.pt,-3.6807461733696982,42,0.2891393005847931,0,0,0.0,0.0,4,109.77175903320312,0,0.0,40,False,True,True,False,False,0.84,0.7072083460433143,0.23593957113778397,0.1476806104183197,0.29520702362060547,-0.2477831169962883,0.8575854429176876,0.07044682092964649,12345,991805
20,case_03,0,/home/xiexuhui/InstinctLab/logs/e1-d4/action_distribution_20260924_091000/train/20260924_090620_G1ResearchPrimaryFall_E1_D4_Research_s42/snapshot_update_020.pt,-4.252789561112877,45,0.2931883633136749,0,0,0.0,0.0,4,2.058535099029541,0,0.0,44,False,True,True,False,False,0.9,1.4668359756469727,0.002431754383203276,0.5260745286941528,-0.4813744127750397,-0.9016186952590942,-0.20466325547960068,0.08272821638319228,12345,1096534
20,case_04,0,/home/xiexuhui/InstinctLab/logs/e1-d4/action_distribution_20260924_091000/train/20260924_090620_G1ResearchPrimaryFall_E1_D4_Research_s42/snapshot_update_020.pt,-4.080221540963976,55,0.26768696308135986,0,0,0.0,0.0,3,4.3410820960998535,0,0.0,53,False,True,True,False,False,1.1,0.7629668203267184,0.2824203865908864,-0.08083921670913696,0.10173231363296509,-0.6751509173349901,-0.3648789942264557,0.07023138742555271,12345,1201263
20,case_05,0,/home/xiexuhui/InstinctLab/logs/e1-d4/action_distribution_20260924_091000/train/20260924_090620_G1ResearchPrimaryFall_E1_D4_Research_s42/snapshot_update_020.pt,-3.619122377684107,64,0.27623191475868225,0,0,0.0,0.0,2,3.8347718715667725,0,0.0,62,False,True,True,False,False,1.28,1.442179400473833,0.004755212669964802,0.8210498094558716,0.23905354738235474,-0.4729628257919103,-0.37383963796310127,0.07760118233272806,12345,1305992
20,case_06,0,/home/xiexuhui/InstinctLab/logs/e1-d4/action_distribution_20260924_091000/train/20260924_090620_G1ResearchPrimaryFall_E1_D4_Research_s42/snapshot_update_020.pt,-4.101750785543118,54,0.34134018421173096,0,0,0.0,0.0,1,29.903484344482422,0,0.0,52,False,True,True,False,False,1.08,1.193781622030117,0.016615862824269075,0.6192426681518555,0.16252392530441284,-0.5051153304952162,0.500142866814578,0.07730021824439366,12345,1410721
20,case_07,0,/home/xiexuhui/InstinctLab/logs/e1-d4/action_distribution_20260924_091000/train/20260924_090620_G1ResearchPrimaryFall_E1_D4_Research_s42/snapshot_update_020.pt,-3.4719819905003533,51,0.26403963565826416,0,0,0.0,0.0,2,86.23747253417969,0,0.0,51,False,True,True,False,False,1.02,0.7235242239400452,0.325805075149772,-0.22490160167217255,0.17261964082717896,-0.5753029719287274,-0.4490363508024636,0.06485124166105308,12345,1515450
