update,iteration_index,adaptive_learning_rate_start,adaptive_learning_rate_end,adaptive_learning_rate_min,adaptive_learning_rate_max,kl_mean,kl_max,minibatch_count,current_log_prob_mean,old_log_prob_mean,log_ratio_mean,log_ratio_abs_max,ratio_clip_fraction,surrogate_loss,value_loss,entropy_loss,total_loss,gradient_norm,transitions,terminated_ratio,primary_fall_ratio,timeout_ratio,completed_episode_length_mean,completed_episode_return_mean,raw_action_abs_mean,raw_action_abs_p90,policy_mean_abs_mean,policy_std_mean,target_limit_violation_steps,target_limit_max_excess_rad,actual_limit_violation_steps,actual_limit_max_excess_rad
11,10,1.5000000000000005e-05,1.5000000000000005e-05,1.5000000000000005e-05,1.5000000000000005e-05,,,0,,,,,,-0.04807324707508087,0.19569069147109985,-41.12467956542969,-0.1813800185918808,1.9831866025924683,16896,0.024088541666666668,0.024088541666666668,0.0,41.45945945945946,-6.749072314146402,0.8160545825958252,1.672650933265686,0.15837374329566956,0.9994938373565674,1450,1.543400764465332,284,0.012055456638336182
12,11,2.2500000000000008e-05,2.2500000000000008e-05,2.2500000000000008e-05,2.2500000000000008e-05,,,0,,,,,,-0.05558445677161217,0.17933638393878937,-41.10783767700195,-0.20511077344417572,1.7270307540893555,18432,0.026041666666666668,0.026041666666666668,0.0,40.125,-7.335499079406262,0.8162983655929565,1.679369568824768,0.15907412767410278,0.9988557696342468,1430,1.4512661695480347,265,0.01252436637878418
13,12,1.5000000000000005e-05,1.5000000000000005e-05,1.5000000000000005e-05,1.5000000000000005e-05,,,0,,,,,,-0.05212464928627014,0.17196661233901978,-41.09998321533203,-0.20895791053771973,1.7491734027862549,19968,0.024739583333333332,0.024739583333333332,0.0,37.578947368421055,-6.984401764587353,0.8132326006889343,1.673889398574829,0.16451025009155273,0.9984109997749329,1440,1.296294927597046,275,0.007556915283203125
14,13,1.5000000000000005e-05,1.5000000000000005e-05,1.5000000000000005e-05,1.5000000000000005e-05,,,0,,,,,,-0.05613033100962639,0.157123863697052,-41.08681106567383,-0.22770099341869354,1.4543808698654175,21504,0.020833333333333332,0.020833333333333332,0.0,43.1875,-7.22625411134213,0.8167515993118286,1.68251633644104,0.17014555633068085,0.9982841610908508,1429,1.2502398490905762,266,0.00942617654800415
15,14,1.5000000000000005e-05,1.5000000000000005e-05,1.5000000000000005e-05,1.5000000000000005e-05,,,0,,,,,,-0.05608825013041496,0.11172755062580109,-41.06386947631836,-0.27287164330482483,1.224021553993225,23040,0.03125,0.03125,0.0,41.104166666666664,-6.999921808093788,0.8119747042655945,1.6706209182739258,0.1687103807926178,0.9974794983863831,1438,1.6337724924087524,266,0.012511074542999268
16,15,1.0000000000000004e-05,1.0000000000000004e-05,1.0000000000000004e-05,1.0000000000000004e-05,,,0,,,,,,-0.04687861353158951,0.16964919865131378,-41.04411315917969,-0.20558233559131622,1.7282177209854126,24576,0.017578125,0.017578125,0.0,39.370370370370374,-6.898521128363079,0.8142775297164917,1.6786383390426636,0.17464926838874817,0.9967630505561829,1449,1.5119338035583496,316,0.013945043087005615
17,16,2.2500000000000008e-05,2.2500000000000008e-05,2.2500000000000008e-05,2.2500000000000008e-05,,,0,,,,,,-0.05135859176516533,0.11936458200216293,-41.02333068847656,-0.26018068194389343,1.5169585943222046,26112,0.027994791666666668,0.027994791666666668,0.0,42.2093023255814,-7.439960295460944,0.8125206828117371,1.6733790636062622,0.1773476004600525,0.9960314631462097,1439,1.3481920957565308,218,0.011610865592956543
18,17,1.0000000000000004e-05,1.0000000000000004e-05,1.0000000000000004e-05,1.0000000000000004e-05,,,0,,,,,,-0.05027415230870247,0.14725811779499054,-41.0063591003418,-0.23106689751148224,1.6059293746948242,27648,0.024088541666666668,0.024088541666666668,0.0,37.648648648648646,-6.7950984814360345,0.8173210620880127,1.6907891035079956,0.1841634064912796,0.9954406023025513,1450,1.7086461782455444,340,0.011887192726135254
19,18,2.2500000000000008e-05,2.2500000000000008e-05,2.2500000000000008e-05,2.2500000000000008e-05,,,0,,,,,,-0.05665980651974678,0.13320015370845795,-40.9936408996582,-0.25140881538391113,1.368155837059021,29184,0.024739583333333332,0.024739583333333332,0.0,43.5,-7.4447363871336,0.8149126172065735,1.6868181228637695,0.18734616041183472,0.9947895407676697,1438,1.5328097343444824,316,0.006926238536834717
20,19,1.0000000000000004e-05,1.0000000000000004e-05,1.0000000000000004e-05,1.0000000000000004e-05,,,0,,,,,,-0.04832286760210991,0.10227897018194199,-40.98854446411133,-0.2739522457122803,1.369491696357727,30720,0.0234375,0.0234375,0.0,38.80555555555556,-7.147365508973599,0.8168143033981323,1.6726064682006836,0.19239075481891632,0.9946274757385254,1428,1.4788005352020264,328,0.01441103219985962
