update,episodes,primary_fall_count,height_failure_count,tilt_failure_count,timeout_count,nonfinite_count,episode_length_mean,episode_return_mean,velocity_tracking_error_mean,velocity_tracking_mean,action_abs_mean,action_abs_max_mean,self_collision_steps_total,self_collision_max_N_max,confirmed_nonfoot_ground_steps_total,target_joint_limit_steps_total,actual_joint_limit_steps_total,target_joint_max_excess_rad_max,actual_joint_max_excess_rad_max,case_ids
0,8,8,6,3,0,0,55.375,-3.7153796649245123,0.9226634262124154,0.20145131295955238,0.06404503242323274,0.26442132890224457,24.0,60.826045989990234,0.0,0.0,13.0,0.0,0.0018078088760375977,"case_00,case_01,case_02,case_03,case_04,case_05,case_06,case_07"
10,8,8,7,1,0,0,54.0,-3.691575981749338,0.9322627736940788,0.22049250698569783,0.09671810039623709,0.3990684561431408,118.0,228.59063720703125,0.0,0.0,11.0,0.0,0.001382291316986084,"case_00,case_01,case_02,case_03,case_04,case_05,case_06,case_07"
25,8,8,7,1,0,0,50.375,-3.8548145765498703,0.9160987966880663,0.22164253986684943,0.17529790081285904,0.569252721965313,272.0,144.7587127685547,0.0,4.0,109.0,0.01218336820602417,0.0014623403549194336,"case_00,case_01,case_02,case_03,case_04,case_05,case_06,case_07"
50,8,8,2,6,0,0,32.25,-4.015476729765396,0.6541547499935072,0.3881019524003205,0.29837605779946,1.1603338569402695,128.0,51.91794967651367,0.0,156.0,104.0,0.22893014550209045,0.00033408403396606445,"case_00,case_01,case_02,case_03,case_04,case_05,case_06,case_07"
100,8,8,0,8,0,0,10.75,-3.954012354245606,0.45293243482821816,0.48651428246803613,0.5101599836101135,2.9786843061447144,18.0,8513.173828125,0.0,83.0,5.0,0.6571334004402161,0.00012928247451782227,"case_00,case_01,case_02,case_03,case_04,case_05,case_06,case_07"
150,8,8,0,8,0,0,9.5,-3.970527445901098,0.4617105125985814,0.47455502730051075,0.5936807110153064,3.604365825653076,11.0,2895.889404296875,0.0,74.0,4.0,1.1694271564483643,0.00020074844360351562,"case_00,case_01,case_02,case_03,case_04,case_05,case_06,case_07"
200,8,8,0,8,0,0,9.375,-3.9627032233329373,0.4638111140372025,0.47444006715021614,0.6151246461603377,3.6664785742759705,12.0,9394.470703125,0.0,73.0,2.0,1.25132417678833,0.00018036365509033203,"case_00,case_01,case_02,case_03,case_04,case_05,case_06,case_07"
