case_set,snapshot_update,case_count,checkpoint_sha256,case_manifest_sha256,episode_seconds_mean,episode_length_mean,velocity_tracking_error_mean_mean,velocity_tracking_mean_mean,actual_x_mean_mean,actual_forward_distance_mean,action_abs_mean_mean,episode_return_mean,primary_fall_total,height_failure_total,tilt_failure_total,timeout_total,target_joint_limit_steps_total,actual_joint_limit_steps_total,self_collision_steps_total,confirmed_nonfoot_ground_steps_total,foot_ground_steps_total,action_abs_max,target_joint_max_excess_rad,actual_joint_max_excess_rad
fixed,0,8,7420842fb9b38a6be30699ca08e14d416d0b1e830f9b13be7da0f0329dbd89dc,9d08f8cd5d7c39d9f0760433a8738a0c8f33cf57115fa1187008186f3ca56798,1.1075,55.375,1.0773634896832596,0.08331370840575263,-0.35419769276609875,-0.3382151799928397,0.0641088441815834,-3.427330069949676,8,6,3,0,0,13,25,0,428,0.2932742238044739,0.0,0.0014424324035644531
fixed,100,8,59b21bd15adc58ab65a717f5c79dde01043dd2ce47a510d871a1db82d1433ddb,9d08f8cd5d7c39d9f0760433a8738a0c8f33cf57115fa1187008186f3ca56798,1.2000000000000002,60.0,1.0632456174705736,0.09795905066288561,-0.36964217080862594,-0.3963314601406455,0.09397056021069693,-3.240728946017043,8,8,0,0,0,11,98,0,466,0.4990931451320648,0.0,0.002144932746887207
fixed,300,8,1b15254575077b1ad1810b8eac624db8e837ae70956401cd4f05fb2b3301f12f,9d08f8cd5d7c39d9f0760433a8738a0c8f33cf57115fa1187008186f3ca56798,1.7175000000000002,85.875,0.9032608405477499,0.20136585771072682,-0.19254338336518098,-0.11350749062548857,0.19279573017749513,-2.627071093855193,8,8,0,0,23,0,47,0,672,1.4431980848312378,0.073985755443573,0.0
fixed,600,8,685a41465457305d1530551acd32312fd3d751085effa02fd6562e2b46f3db99,9d08f8cd5d7c39d9f0760433a8738a0c8f33cf57115fa1187008186f3ca56798,9.749999999999998,487.5,0.8040086543936799,0.22722753718710814,-0.2852934971154024,-0.31281050704645164,0.23147968731710605,7.5571932721341,5,5,0,3,53,1,18,0,3888,1.9864671230316162,0.13706910610198975,4.380941390991211e-06
fixed,900,8,4d4dc1d7345c1d5be500cd8ad026832878cd494a410d95d87c3679259781d9ea,9d08f8cd5d7c39d9f0760433a8738a0c8f33cf57115fa1187008186f3ca56798,8.932500000000001,446.625,0.747190432811096,0.27145277046684085,-0.189675675644209,0.03187893561094822,0.24876879452884082,6.630810033607304,6,6,0,2,137,0,28,0,3562,2.527935028076172,0.2220950722694397,0.0
fixed,1302,8,2f2b1379dcfdc73a4c0e3a7ccaae1fbae8b1660d547b3f8d7246e85e7069201e,9d08f8cd5d7c39d9f0760433a8738a0c8f33cf57115fa1187008186f3ca56798,12.985,649.25,0.7510315718864571,0.2805048019388783,-0.2366356122132156,0.11940613911465334,0.24680405491660018,12.938919821513991,3,3,0,5,537,6,60,0,5152,3.430258274078369,0.6178335547447205,2.536177635192871e-05
