case_set,snapshot_update,case_count,checkpoint_sha256,case_manifest_sha256,episode_seconds_mean,episode_length_mean,velocity_tracking_error_mean_mean,velocity_tracking_mean_mean,actual_x_mean_mean,actual_forward_distance_mean,action_abs_mean_mean,episode_return_mean,primary_fall_total,height_failure_total,tilt_failure_total,timeout_total,target_joint_limit_steps_total,actual_joint_limit_steps_total,self_collision_steps_total,confirmed_nonfoot_ground_steps_total,foot_ground_steps_total,action_abs_max,target_joint_max_excess_rad,actual_joint_max_excess_rad
independent_32,0,32,7420842fb9b38a6be30699ca08e14d416d0b1e830f9b13be7da0f0329dbd89dc,33acab689852b137de7ed9cac8a812567ad222f3229f001663dd7f9a203e79d1,1.0493749999999997,52.46875,1.0175505422228333,0.1425351689023859,-0.008609169485410923,-0.0006216611759737103,0.0637163408651766,-3.4201988751685803,32,31,4,0,0,147,97,0,1623,0.2913452088832855,0.0,0.004099667072296143
independent_32,100,32,59b21bd15adc58ab65a717f5c79dde01043dd2ce47a510d871a1db82d1433ddb,33acab689852b137de7ed9cac8a812567ad222f3229f001663dd7f9a203e79d1,1.09375,54.6875,0.9639820366777224,0.1833421600309466,0.03094748804148246,0.04184997408941854,0.0934320224704429,-3.204195441521847,32,32,0,0,0,119,179,0,1697,0.5771626234054565,0.0,0.002706289291381836
independent_32,300,32,1b15254575077b1ad1810b8eac624db8e837ae70956401cd4f05fb2b3301f12f,33acab689852b137de7ed9cac8a812567ad222f3229f001663dd7f9a203e79d1,1.4962499999999999,74.8125,0.8403517280743544,0.2714053928354589,0.023793315526475924,0.12143332128282053,0.20026665315153383,-2.654744068125524,32,32,0,0,38,16,110,0,2339,1.4323676824569702,0.07806038856506348,0.006209909915924072
independent_32,600,32,685a41465457305d1530551acd32312fd3d751085effa02fd6562e2b46f3db99,33acab689852b137de7ed9cac8a812567ad222f3229f001663dd7f9a203e79d1,9.0025,450.125,0.721023839088607,0.29137208731191844,-0.06944101038243164,0.1843166376830209,0.23074347075533297,6.301228674272352,25,25,0,7,187,0,26,0,14351,2.3058159351348877,0.28834426403045654,0.0
independent_32,900,32,4d4dc1d7345c1d5be500cd8ad026832878cd494a410d95d87c3679259781d9ea,33acab689852b137de7ed9cac8a812567ad222f3229f001663dd7f9a203e79d1,8.634999999999998,431.75,0.7104204898427399,0.2986890691678807,-0.06558722243053113,0.1104524321487088,0.24447328926786469,5.964521636613085,26,26,0,6,515,0,117,0,13767,3.03084135055542,0.44265836477279663,0.0
independent_32,1302,32,2f2b1379dcfdc73a4c0e3a7ccaae1fbae8b1660d547b3f8d7246e85e7069201e,33acab689852b137de7ed9cac8a812567ad222f3229f001663dd7f9a203e79d1,12.89,644.5,0.6773011223235978,0.3184226193564332,-0.07671835972031454,0.2989961542227638,0.257325166957574,12.387261508661652,14,14,0,18,1330,0,60,0,20430,4.494070529937744,1.084397554397583,0.0
