case_id,joint,lower_rad,upper_rad,initial_q_rad,initial_excess_rad,first_time_s,first_q_rad,first_excess_rad,time_at_max_s,q_at_max_rad,max_excess_rad,sample_count,classification
1,left_ankle_pitch_joint,-0.8726699352264404,0.5235999226570129,-0.36622461676597595,0,0.86,-0.8735872507095337,0.0009173154830932617,0.92,-0.8740449547767639,0.0013750195503234863,13,dynamic_ge_1e-3_rad
2,left_ankle_pitch_joint,-0.8726699352264404,0.5235999226570129,-0.409477561712265,0,0.46,-0.8757045269012451,0.0030345916748046875,0.46,-0.8757045269012451,0.0030345916748046875,10,dynamic_ge_1e-3_rad
5,left_ankle_pitch_joint,-0.8726699352264404,0.5235999226570129,-0.4163453280925751,0,0.78,-0.8754429221153259,0.002772986888885498,0.78,-0.8754429221153259,0.002772986888885498,16,dynamic_ge_1e-3_rad
1,left_ankle_roll_joint,-0.26179996132850647,0.26179996132850647,0.0,0,0.76,0.26223471760749817,0.0004347562789916992,0.86,0.2623792290687561,0.0005792677402496338,13,numerical_lt_1e-3_rad
4,left_ankle_roll_joint,-0.26179996132850647,0.26179996132850647,0.0,0,0.54,0.2622283399105072,0.0004283785820007324,0.66,0.26227110624313354,0.0004711449146270752,9,numerical_lt_1e-3_rad
7,left_ankle_roll_joint,-0.26179996132850647,0.26179996132850647,0.0,0,0.64,0.26224255561828613,0.0004425942897796631,0.72,0.2622983455657959,0.0004983842372894287,8,numerical_lt_1e-3_rad
3,right_ankle_pitch_joint,-0.8726699352264404,0.5235999226570129,-0.3774069547653198,0,0.84,-0.8746954202651978,0.0020254850387573242,0.84,-0.8746954202651978,0.0020254850387573242,20,dynamic_ge_1e-3_rad
5,right_ankle_pitch_joint,-0.8726699352264404,0.5235999226570129,-0.4278983771800995,0,0.76,-0.8760011792182922,0.0033312439918518066,0.76,-0.8760011792182922,0.0033312439918518066,14,dynamic_ge_1e-3_rad
6,right_ankle_pitch_joint,-0.8726699352264404,0.5235999226570129,-0.4271909296512604,0,0.8,-0.8730049729347229,0.0003350377082824707,0.8,-0.8730049729347229,0.0003350377082824707,1,numerical_lt_1e-3_rad
6,right_ankle_roll_joint,-0.26179996132850647,0.26179996132850647,0.0,0,0.58,-0.2622641324996948,0.0004641711711883545,0.78,-0.2623671591281891,0.0005671977996826172,12,numerical_lt_1e-3_rad
5,waist_pitch_joint,-0.5199999213218689,0.5199999213218689,0.0,0,0.8,0.5201932191848755,0.0001932978630065918,0.84,0.5201932787895203,0.0001933574676513672,8,numerical_lt_1e-3_rad
