episode_id,env_id,env_episode_id,episode_return,episode_length,velocity_tracking_error,velocity_tracking,base_contact,timeout,fall,terminated,truncated,actual_forward_distance,actual_velocity,mean_speed_xy,command_mode,seed
0,0,0,-4.015913486480713,10,0.9838058352470398,0.021515807136893272,True,False,True,True,False,0.008274063467979431,0.048876289278268814,0.5523223876953125,original,12345
1,1,0,-3.8059959411621094,11,0.7792065739631653,0.08844359964132309,True,False,True,True,False,-0.05472102761268616,-0.17275214195251465,0.4268694818019867,original,12345
2,3,0,-3.770561695098877,11,0.4143730700016022,0.5033854842185974,True,False,True,True,False,-0.06906722486019135,-0.41661641001701355,0.47049272060394287,original,12345
3,4,0,-3.849106788635254,11,1.0954309701919556,0.00880335085093975,True,False,True,True,False,-0.06020671874284744,-0.1483580768108368,0.4556015729904175,original,12345
4,5,0,-4.0116496086120605,11,0.8686199188232422,0.049150705337524414,True,False,True,True,False,-0.0761459618806839,-0.2995591163635254,0.4639308452606201,original,12345
5,6,0,-3.835313320159912,11,0.2103196531534195,0.8358606100082397,True,False,True,True,False,-0.0026455926708877087,0.0029955327045172453,0.03583693876862526,original,12345
6,7,0,-3.875746011734009,11,0.4328974187374115,0.47299087047576904,True,False,True,True,False,-0.046651288866996765,-0.13791298866271973,0.24791219830513,original,12345
7,0,1,-3.6876144409179688,10,0.21541421115398407,0.8300654292106628,True,False,True,True,False,-0.003567510051652789,0.06781335920095444,0.09823884814977646,original,12345
8,3,1,-3.9833924770355225,9,1.2154914140701294,0.0027483731973916292,True,False,True,True,False,-0.08612020313739777,-0.3669807016849518,0.6214368939399719,original,12345
9,7,1,-3.8879811763763428,10,0.3648703098297119,0.587144672870636,True,False,True,True,False,0.015899674966931343,0.06393805891275406,0.11706650257110596,original,12345
10,1,1,-3.9435818195343018,11,0.5095029473304749,0.3541075587272644,True,False,True,True,False,-0.05898423492908478,-0.34804990887641907,0.3593583405017853,original,12345
11,4,1,-3.9323320388793945,11,0.7457975149154663,0.10992763936519623,True,False,True,True,False,-0.06329154223203659,-0.19744132459163666,0.199965238571167,original,12345
12,5,1,-3.963219404220581,11,0.5185644030570984,0.3475472033023834,True,False,True,True,False,0.08724063634872437,0.448962539434433,0.5185645222663879,original,12345
13,0,2,-4.01081657409668,10,0.8770154118537903,0.04827108234167099,True,False,True,True,False,0.008070189505815506,0.1505153477191925,0.5101737380027771,original,12345
14,3,2,-3.976454496383667,12,0.842954158782959,0.05847534164786339,True,False,True,True,False,-0.014751564711332321,-0.1291038990020752,0.4458354115486145,original,12345
15,1,2,-3.8629608154296875,11,0.35414114594459534,0.6055150628089905,True,False,True,True,False,-0.07257553935050964,-0.3822214901447296,0.3878619968891144,original,12345
16,5,2,-3.939037561416626,11,0.536835253238678,0.3165237605571747,True,False,True,True,False,-0.1186317652463913,-0.4149571359157562,0.536835253238678,original,12345
17,7,2,-3.9237728118896484,12,0.8672888278961182,0.05045859143137932,True,False,True,True,False,-0.0005679288879036903,-0.06508265435695648,0.2091449350118637,original,12345
18,4,2,-3.806086778640747,12,0.8939949870109558,0.04582534730434418,True,False,True,True,False,0.0711948499083519,0.3107869029045105,0.5473084449768066,original,12345
19,0,3,-3.9954257011413574,10,0.8727121353149414,0.04767914488911629,True,False,True,True,False,-0.0005614273250102997,0.05259718373417854,0.618246853351593,original,12345
20,7,3,-3.9792544841766357,10,1.1231483221054077,0.006493288557976484,True,False,True,True,False,-0.13043099641799927,-0.5382067561149597,0.627740204334259,original,12345
21,1,3,-3.797093391418457,11,0.8133392333984375,0.0720151886343956,True,False,True,True,False,-0.03300655260682106,-0.09052366018295288,0.5611523985862732,original,12345
22,5,3,-3.6916160583496094,11,0.07334335148334503,0.9754552841186523,True,False,True,True,False,0.034867629408836365,0.16008727252483368,0.22560174763202667,original,12345
23,4,3,-3.7352049350738525,13,0.26551690697669983,0.7509474754333496,True,False,True,True,False,0.10276343673467636,0.37258535623550415,0.40502941608428955,original,12345
24,6,1,-4.067883014678955,41,1.1519992351531982,0.07883027195930481,True,False,True,True,False,0.8281626105308533,1.0864782333374023,1.2720093727111816,original,12345
25,2,0,-4.775568962097168,53,1.000375747680664,0.221776083111763,True,False,True,True,False,0.7963317632675171,0.8664448857307434,0.9908936619758606,original,12345
26,2,1,-3.8644535541534424,10,0.8895902633666992,0.04391564801335335,True,False,True,True,False,-0.124223493039608,-0.6911631226539612,0.6917170286178589,original,12345
27,6,2,-3.8041272163391113,12,0.2960878014564514,0.7039961814880371,True,False,True,True,False,-0.019690196961164474,-0.15732255578041077,0.48076769709587097,original,12345
28,2,2,-3.7818145751953125,10,0.4021669328212738,0.5239447951316833,True,False,True,True,False,-0.08155450224876404,-0.37817248702049255,0.5104216933250427,original,12345
29,6,3,-3.9821856021881104,11,0.6885660290718079,0.1555919200181961,True,False,True,True,False,0.04247031360864639,0.23789432644844055,0.36467185616493225,original,12345
30,3,3,-4.79056453704834,53,1.0641604661941528,0.17564909160137177,True,False,True,True,False,0.9160469174385071,1.025841236114502,1.0641604661941528,original,12345
31,2,3,-3.8741214275360107,13,0.8998739123344421,0.0525839664041996,True,False,True,True,False,0.11728712916374207,0.5599398612976074,0.6146528124809265,original,12345
