update,env_id,episode_index,episode_length,episode_return,primary_fall,timeout,terminated,reward_termination_penalty,reward_track_lin_vel_xy_exp,reward_track_ang_vel_z_exp,reward_feet_air_time,reward_feet_slide,reward_flat_orientation_l2,reward_stand_still,reward_dof_pos_limits,reward_joint_deviation_hip,reward_joint_deviation_arms,reward_joint_deviation_torso,reward_joint_deviation_knee,reward_lin_vel_z_l2,reward_action_rate_l2,reward_dof_acc_l2,reward_dof_torques_l2
2,21,0,26,-7.286772867441178,True,False,True,-4.0,0.21213196162134407,0.0742835335638859,0.0,-0.029605003760661934,-0.18011160599369758,-1.6720384907722476,-0.001574711799621582,-0.024382802750915287,-0.08019312582910063,-0.02442339574918151,-0.009785423008725046,-0.0034390710620209575,-1.5315668821334838,-0.007887650571065023,-0.008180243591777981
2,32,0,32,-6.0612059855461125,True,False,True,-4.0,0.008433037572504354,0.09760722676959821,0.01379998678341508,-0.053447255026549116,-0.16194162739382595,0.0,-0.016132748369127512,-0.03125006046146155,-0.08311758205294609,-0.03300150885246695,-0.007322678593918682,-0.013423114517336219,-1.7544246912002566,-0.02034450824605301,-0.006640629989560694
2,55,0,32,-7.624276876449585,True,False,True,-4.0,0.07033944534751642,0.10779543442206829,0.0,-0.04235303223598749,-0.08956090881838463,-1.8203188014030458,-0.01667811248451471,-0.03896937035024166,-0.07490181744098663,-0.03235540920868516,-0.010607103379443285,-0.010789204761385918,-1.63069411277771,-0.026800275256391618,-0.008383602704852819
2,24,0,33,-6.248834986686706,True,False,True,-4.0,0.006048856841578502,0.07453759156610132,0.007799993604421615,-0.06097359785810112,-0.156000572310586,0.0,-0.015470838434994224,-0.05301165802404284,-0.09815709985792637,-0.0379927003197372,-0.011256070975214244,-0.010153986495943743,-1.8730310440063476,-0.013429614324122666,-0.007744146713521329
2,57,0,33,-5.782859318256379,True,False,True,-4.0,0.3279627344757318,0.125612851650944,0.004799996763467789,-0.04892300750128926,-0.1478515787251672,0.0,-0.001636887788772583,-0.030107398461550472,-0.08380652472376823,-0.028659594878554344,-0.009340445464476944,-0.007703671187200171,-1.8607817029953004,-0.01384684442775324,-0.008577382022049275
2,22,0,34,-6.007299699783325,True,False,True,-4.0,0.001872686396759278,0.019614468860331837,0.011599989440292119,-0.04543975254520775,-0.04020821378271649,0.0,-0.00956163956783712,-0.03603060175664723,-0.07635381907224655,-0.039238099958747615,-0.006859096186235546,-0.021618938373794663,-1.7477676606178285,-0.011563847027719022,-0.005744925885228439
2,29,0,34,-8.360638600587846,True,False,True,-4.0,0.0800551382095109,0.06139013878874594,0.0,-0.06338927114382387,-0.03675253049295862,-2.1895494842529297,-0.018075975961983203,-0.030629379432648422,-0.10387983255088329,-0.04078129321336744,-0.00792068235576153,-0.02590399946566322,-1.9622841453552244,-0.015082831219770014,-0.007834202528465539
2,31,0,34,-5.844248484373093,True,False,True,-4.0,0.37374536782503126,0.09076295452176057,0.003799997474998236,-0.06589378183707595,-0.15606121635551973,0.0,-0.02407480277121067,-0.025464791990816592,-0.0931102380156517,-0.030442249421030285,-0.012389563973993068,-0.008737161867005624,-1.8655775356292723,-0.022982705263420947,-0.00782253781100735
2,46,0,34,-6.254919168949128,True,False,True,-4.0,0.023982801565653068,0.13118624953633484,0.005299997758120298,-0.05253811847418547,-0.33133801723946815,0.0,-0.006471737902611493,-0.031002831570804114,-0.09422900754958392,-0.038990997727960344,-0.009774476559832693,-0.016306872796294555,-1.816678020954132,-0.010686651691794396,-0.00737102068029344
2,48,0,34,-6.172093422412872,True,False,True,-4.0,0.1132102560461499,0.09553663894939232,0.003899997714906931,-0.04984322432428598,-0.17615919999137988,0.0,-0.01269860079512,-0.04121717602014542,-0.08982506096363069,-0.03637852218002081,-0.011306327590718868,-0.00721217779277609,-1.9282631063461304,-0.02343098760116845,-0.008406237512826919
2,49,0,34,-8.023843626976014,True,False,True,-4.0,0.07999938180684696,0.034288093535230074,0.0,-0.05914395449683071,-0.028405236188555137,-1.8613653445243834,-0.0029050489142537117,-0.04473941594362259,-0.08615468308329581,-0.04029150692746043,-0.008142458591610193,-0.04114700897805961,-1.9455522155761718,-0.011274832549970599,-0.009009356009773909
