update,raw_action_abs_p95,raw_action_abs_p99,raw_action_abs_max,policy_mean_abs_p95,policy_mean_abs_p99,policy_mean_abs_max,policy_std_mean,target_limit_violation_steps,target_limit_max_excess_rad,actual_limit_violation_steps,actual_limit_max_excess_rad,joint_torque_abs_max,contact_sensor_force_max_N,contact_sensor_contact_elements,robot_ground_contact_steps_proxy,primary_fall_ratio,timeout_ratio,terminated_ratio,ratio_clip_fraction,adaptive_learning_rate_end,kl_mean,gradient_norm,entropy_loss,value_loss,surrogate_loss,velocity_tracking_error_mean,velocity_tracking_mean
1,0.4342716932296753,0.563651442527771,0.921816349029541,0.18586474657058716,0.2430819571018219,0.36395853757858276,0.20000001788139343,18,0.08909794688224792,20,0.003116786479949951,51.13948059082031,955.6351318359375,3050,3050,0.0,0.0,0.0,0.8584635853767395,1e-05,1.1324384212493896,2.8890926837921143,5.447795391082764,0.0074870227836072445,0.08478517085313797,0.6463233828544617,0.2944450378417969
2,0.45234739780426025,0.5896549224853516,1.1779597997665405,0.2275395393371582,0.3103764057159424,0.5333490967750549,0.20068544149398804,36,0.09425142407417297,334,0.0075612664222717285,46.666690826416016,1163.370361328125,3053,3053,0.0234375,0.0,0.0234375,0.26770836114883423,1e-05,0.01800260879099369,5.229057788848877,5.400142192840576,2.765639066696167,-0.054996807128190994,1.0588458776474,0.11989472806453705
3,0.44400402903556824,0.5818992853164673,1.0357966423034668,0.20687004923820496,0.27589356899261475,0.4871954023838043,0.2009945511817932,21,0.11439290642738342,118,0.0045212507247924805,47.25050354003906,996.7803955078125,3135,3135,0.016276041666666668,0.0,0.016276041666666668,0.22799479961395264,1e-05,0.015334472060203552,3.4866912364959717,5.36844539642334,0.9525774121284485,-0.04462646320462227,0.7532486915588379,0.24744676053524017
4,0.44798049330711365,0.585280179977417,1.0261316299438477,0.21276505291461945,0.28318318724632263,0.49968385696411133,0.20116156339645386,19,0.09965395927429199,314,0.0033159255981445312,49.043312072753906,912.2174072265625,2946,2946,0.024088541666666668,0.0,0.024088541666666668,0.26588544249534607,1e-05,0.015694227069616318,4.781893253326416,5.353046417236328,2.144756555557251,-0.05787760019302368,0.9692729711532593,0.1750362366437912
5,0.4436773955821991,0.5847334265708923,0.9732953310012817,0.20903781056404114,0.2779596447944641,0.4818553030490875,0.20123295485973358,26,0.16506528854370117,219,0.004440128803253174,48.733577728271484,1126.90966796875,3189,3189,0.016276041666666668,0.0,0.016276041666666668,0.2645833492279053,1e-05,0.01684851013123989,3.961134433746338,5.332700252532959,0.9372684359550476,-0.05105478689074516,0.7798068523406982,0.26188933849334717
6,0.4461936354637146,0.5841142535209656,0.9713144302368164,0.21493558585643768,0.2854853868484497,0.45987948775291443,0.20143193006515503,26,0.14681163430213928,279,0.0040174126625061035,48.714820861816406,1387.859619140625,3098,3098,0.024088541666666668,0.0,0.024088541666666668,0.26679688692092896,1e-05,0.016554970294237137,4.595279693603516,5.303927898406982,1.4078733921051025,-0.05788363888859749,0.9175171852111816,0.19654202461242676
7,0.44594720005989075,0.5864143967628479,0.9450197815895081,0.21404950320720673,0.2854871451854706,0.4779662787914276,0.20162726938724518,31,0.1310628354549408,181,0.005459606647491455,51.164451599121094,1046.1329345703125,3146,3146,0.018229166666666668,0.0,0.018229166666666668,0.2582031488418579,1e-05,0.016319960355758667,4.331385612487793,5.274702548980713,0.8147432208061218,-0.054411061108112335,0.8781150579452515,0.21841669082641602
8,0.44963565468788147,0.5874606966972351,1.0309932231903076,0.2133123278617859,0.2832997739315033,0.4897087514400482,0.2018309384584427,27,0.11650264263153076,224,0.003171384334564209,50.71498489379883,1467.39111328125,3073,3073,0.021484375,0.0,0.021484375,0.26744791865348816,1e-05,0.016934439539909363,4.501510143280029,5.250967025756836,0.7997819781303406,-0.05662345886230469,0.9146139621734619,0.2058364748954773
9,0.4510231912136078,0.5967434644699097,1.1315791606903076,0.2118247002363205,0.2773083746433258,0.46601244807243347,0.20198318362236023,22,0.07170534133911133,193,0.004109382629394531,48.87928009033203,886.694091796875,3117,3117,0.01953125,0.0,0.01953125,0.2808593809604645,1e-05,0.015904296189546585,4.111766338348389,5.232713222503662,0.533305823802948,-0.06151587516069412,0.8117505311965942,0.2611771523952484
10,0.44984638690948486,0.5929334163665771,1.004880666732788,0.21379058063030243,0.28551167249679565,0.5461501479148865,0.20207788050174713,27,0.08682414889335632,233,0.004115879535675049,47.25511932373047,953.5311279296875,3065,3065,0.022135416666666668,0.0,0.022135416666666668,0.2710937559604645,1e-05,0.016258377581834793,4.507493495941162,5.226524353027344,0.4956076741218567,-0.05922943353652954,0.8729763031005859,0.23462644219398499
