controller,action_mode,case_id,control_step,physics_step,contact_time_s,link_a,link_b,contact_force_N,contact_points,self_collision,primary_fall,classification
zero,legacy_raw,7,5,20,0.1,right_ankle_roll_link,unconfirmed,219.2053680419922,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,0,6,24,0.12,left_ankle_roll_link,unconfirmed,206.4864959716797,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,0,6,24,0.12,right_ankle_roll_link,unconfirmed,207.37405395507812,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,1,6,24,0.12,left_ankle_roll_link,unconfirmed,206.54275512695312,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,1,6,24,0.12,right_ankle_roll_link,unconfirmed,207.455078125,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,2,6,24,0.12,left_ankle_roll_link,unconfirmed,206.56146240234375,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,2,6,24,0.12,right_ankle_roll_link,unconfirmed,207.4662628173828,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,3,6,24,0.12,left_ankle_roll_link,unconfirmed,206.54257202148438,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,3,6,24,0.12,right_ankle_roll_link,unconfirmed,207.4996795654297,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,4,6,24,0.12,left_ankle_roll_link,unconfirmed,206.61912536621094,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,4,6,24,0.12,right_ankle_roll_link,unconfirmed,207.4533233642578,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,5,6,24,0.12,left_ankle_roll_link,unconfirmed,206.5503387451172,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,5,6,24,0.12,right_ankle_roll_link,unconfirmed,207.49725341796875,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,6,6,24,0.12,left_ankle_roll_link,unconfirmed,206.60037231445312,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,6,6,24,0.12,right_ankle_roll_link,unconfirmed,207.55381774902344,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,7,6,24,0.12,left_ankle_roll_link,unconfirmed,206.54087829589844,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,7,6,24,0.12,right_ankle_roll_link,unconfirmed,207.54537963867188,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,0,7,28,0.14,left_ankle_roll_link,unconfirmed,197.8363037109375,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,0,7,28,0.14,right_ankle_roll_link,unconfirmed,198.665771484375,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,1,7,28,0.14,left_ankle_roll_link,unconfirmed,197.84449768066406,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,1,7,28,0.14,right_ankle_roll_link,unconfirmed,198.6799774169922,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,2,7,28,0.14,left_ankle_roll_link,unconfirmed,197.8258056640625,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,2,7,28,0.14,right_ankle_roll_link,unconfirmed,198.68435668945312,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,3,7,28,0.14,left_ankle_roll_link,unconfirmed,197.87725830078125,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,3,7,28,0.14,right_ankle_roll_link,unconfirmed,198.6909942626953,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,4,7,28,0.14,left_ankle_roll_link,unconfirmed,197.834228515625,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,4,7,28,0.14,right_ankle_roll_link,unconfirmed,198.6407928466797,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,5,7,28,0.14,left_ankle_roll_link,unconfirmed,197.91026306152344,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,5,7,28,0.14,right_ankle_roll_link,unconfirmed,198.6423797607422,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,6,7,28,0.14,left_ankle_roll_link,unconfirmed,197.83059692382812,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,6,7,28,0.14,right_ankle_roll_link,unconfirmed,198.65151977539062,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,7,7,28,0.14,left_ankle_roll_link,unconfirmed,197.9521942138672,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,7,7,28,0.14,right_ankle_roll_link,unconfirmed,198.67437744140625,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,0,8,32,0.16,left_ankle_roll_link,unconfirmed,190.29705810546875,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,0,8,32,0.16,right_ankle_roll_link,unconfirmed,190.73513793945312,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,1,8,32,0.16,left_ankle_roll_link,unconfirmed,190.3990478515625,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,1,8,32,0.16,right_ankle_roll_link,unconfirmed,191.06146240234375,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,2,8,32,0.16,left_ankle_roll_link,unconfirmed,190.21694946289062,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,2,8,32,0.16,right_ankle_roll_link,unconfirmed,190.92359924316406,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,3,8,32,0.16,left_ankle_roll_link,unconfirmed,190.2572021484375,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,3,8,32,0.16,right_ankle_roll_link,unconfirmed,190.96058654785156,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,4,8,32,0.16,left_ankle_roll_link,unconfirmed,190.21958923339844,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,4,8,32,0.16,right_ankle_roll_link,unconfirmed,190.94544982910156,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,5,8,32,0.16,left_ankle_roll_link,unconfirmed,190.26934814453125,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,5,8,32,0.16,right_ankle_roll_link,unconfirmed,190.94056701660156,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,6,8,32,0.16,left_ankle_roll_link,unconfirmed,190.2425079345703,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,6,8,32,0.16,right_ankle_roll_link,unconfirmed,190.8964080810547,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,7,8,32,0.16,left_ankle_roll_link,unconfirmed,190.27426147460938,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,7,8,32,0.16,right_ankle_roll_link,unconfirmed,190.9609375,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,0,9,36,0.18,left_ankle_roll_link,unconfirmed,183.581787109375,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,0,9,36,0.18,right_ankle_roll_link,unconfirmed,184.0647735595703,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,1,9,36,0.18,left_ankle_roll_link,unconfirmed,183.49822998046875,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,1,9,36,0.18,right_ankle_roll_link,unconfirmed,184.157958984375,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,2,9,36,0.18,left_ankle_roll_link,unconfirmed,183.50706481933594,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,2,9,36,0.18,right_ankle_roll_link,unconfirmed,184.09024047851562,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,3,9,36,0.18,left_ankle_roll_link,unconfirmed,183.51681518554688,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,3,9,36,0.18,right_ankle_roll_link,unconfirmed,184.10984802246094,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,4,9,36,0.18,left_ankle_roll_link,unconfirmed,183.54444885253906,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,4,9,36,0.18,right_ankle_roll_link,unconfirmed,184.1463165283203,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,5,9,36,0.18,left_ankle_roll_link,unconfirmed,183.5172576904297,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,5,9,36,0.18,right_ankle_roll_link,unconfirmed,184.13558959960938,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,6,9,36,0.18,left_ankle_roll_link,unconfirmed,183.46656799316406,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,6,9,36,0.18,right_ankle_roll_link,unconfirmed,184.1916961669922,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,7,9,36,0.18,left_ankle_roll_link,unconfirmed,183.48599243164062,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,7,9,36,0.18,right_ankle_roll_link,unconfirmed,184.19985961914062,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,0,10,40,0.2,left_ankle_roll_link,unconfirmed,177.69400024414062,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,0,10,40,0.2,right_ankle_roll_link,unconfirmed,178.22543334960938,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,1,10,40,0.2,left_ankle_roll_link,unconfirmed,177.84860229492188,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,1,10,40,0.2,right_ankle_roll_link,unconfirmed,178.21749877929688,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,2,10,40,0.2,left_ankle_roll_link,unconfirmed,177.61697387695312,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,2,10,40,0.2,right_ankle_roll_link,unconfirmed,178.1715087890625,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,3,10,40,0.2,left_ankle_roll_link,unconfirmed,177.6893310546875,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,3,10,40,0.2,right_ankle_roll_link,unconfirmed,178.23973083496094,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,4,10,40,0.2,left_ankle_roll_link,unconfirmed,177.769287109375,[],False,False,unconfirmed_gpu_filter
