controller,action_mode,mode,case_id,control_step,physics_step,contact_time_s,link_a,link_b,contact_force_N,contact_points,self_collision,primary_fall_at_sample,primary_fall_same_control_step,episode_primary_fall,causes_primary_fall,classification,evidence,root_height_m,root_orientation_quat,root_tilt_rad,root_state,joint_position,joint_velocity
model_200,legacy_raw,matrix,1,18,71,0.355,right_hip_roll_link,unresolved_sensor_net,5.9717888832092285,[],,False,False,True,not_established,unconfirmed,"net force; pair rows are separate, not assumed exhaustive",0.73335862159729,"[0.8403849601745605, 0.049289148300886154, -0.47112205624580383, -0.2633771002292633]",0.9869595941198476,"[3.9893605709075928, 1.3126698732376099, 0.73335862159729, 0.8403849601745605, 0.049289148300886154, -0.47112205624580383, -0.2633771002292633, -0.7160223722457886, -0.6999364495277405, -1.0705556869506836, -0.641979455947876, -5.390913963317871, -0.6621357202529907]","[0.5132209658622742, 0.4783768951892853, 0.4599583148956299, 0.08380948007106781, 0.1144198402762413, -0.10062308609485626, 0.025937659665942192, 0.19788655638694763, 0.09006921201944351, 0.8850929737091064, 0.6492462158203125, 0.3079352378845215, 0.33906644582748413, -0.021067559719085693, 0.2919817268848419, -0.09578008204698563, 0.031763747334480286, -0.02722688764333725, -0.03789639472961426, -0.32455724477767944, -0.08549075573682785, 0.03733694553375244, -0.00018438498955219984, 0.7152803540229797, 0.8859210014343262, -0.5347751379013062, -0.7521011829376221, 0.261714369058609, -0.26203495264053345]","[2.720886468887329, 1.2233741283416748, 4.180224895477295, -0.23647154867649078, -0.4039475619792938, -0.6712737679481506, 0.1616758555173874, 0.43124544620513916, 0.5320799350738525, -1.1600635051727295, 0.28684839606285095, 1.1441949605941772, 2.0713181495666504, 0.5177982449531555, 1.8464570045471191, 0.05787190422415733, -0.09140411019325256, -0.2790561318397522, 0.08631942421197891, -1.816444754600525, -1.1586281061172485, -0.16175349056720734, -0.02720509096980095, -0.17597176134586334, -0.7199310064315796, 1.710922360420227, -0.4180572032928467, 8.84617111296393e-05, -1.5236828327178955]"
model_200,legacy_raw,matrix,1,18,71,0.355,right_ankle_roll_link,unresolved_sensor_net,185.53091430664062,[],,False,False,True,not_established,unconfirmed,"net force; pair rows are separate, not assumed exhaustive",0.73335862159729,"[0.8403849601745605, 0.049289148300886154, -0.47112205624580383, -0.2633771002292633]",0.9869595941198476,"[3.9893605709075928, 1.3126698732376099, 0.73335862159729, 0.8403849601745605, 0.049289148300886154, -0.47112205624580383, -0.2633771002292633, -0.7160223722457886, -0.6999364495277405, -1.0705556869506836, -0.641979455947876, -5.390913963317871, -0.6621357202529907]","[0.5132209658622742, 0.4783768951892853, 0.4599583148956299, 0.08380948007106781, 0.1144198402762413, -0.10062308609485626, 0.025937659665942192, 0.19788655638694763, 0.09006921201944351, 0.8850929737091064, 0.6492462158203125, 0.3079352378845215, 0.33906644582748413, -0.021067559719085693, 0.2919817268848419, -0.09578008204698563, 0.031763747334480286, -0.02722688764333725, -0.03789639472961426, -0.32455724477767944, -0.08549075573682785, 0.03733694553375244, -0.00018438498955219984, 0.7152803540229797, 0.8859210014343262, -0.5347751379013062, -0.7521011829376221, 0.261714369058609, -0.26203495264053345]","[2.720886468887329, 1.2233741283416748, 4.180224895477295, -0.23647154867649078, -0.4039475619792938, -0.6712737679481506, 0.1616758555173874, 0.43124544620513916, 0.5320799350738525, -1.1600635051727295, 0.28684839606285095, 1.1441949605941772, 2.0713181495666504, 0.5177982449531555, 1.8464570045471191, 0.05787190422415733, -0.09140411019325256, -0.2790561318397522, 0.08631942421197891, -1.816444754600525, -1.1586281061172485, -0.16175349056720734, -0.02720509096980095, -0.17597176134586334, -0.7199310064315796, 1.710922360420227, -0.4180572032928467, 8.84617111296393e-05, -1.5236828327178955]"
model_200,legacy_raw,matrix,2,18,71,0.355,left_ankle_roll_link,unresolved_sensor_net,181.52658081054688,[],,False,False,True,not_established,unconfirmed,"net force; pair rows are separate, not assumed exhaustive",0.7720880508422852,"[0.9265956878662109, -0.11244182288646698, -0.17574064433574677, -0.3128775954246521]",0.4203549749277872,"[1.6135106086730957, -1.576680064201355, 0.7720880508422852, 0.9265956878662109, -0.11244182288646698, -0.17574064433574677, -0.3128775954246521, 0.09984954446554184, -0.25493523478507996, -0.342192143201828, -1.9092942476272583, -1.6576141119003296, 0.7665190100669861]","[0.3175892233848572, 0.3385160267353058, 0.3416033387184143, 0.04789026454091072, -0.04994525387883186, 0.11689910292625427, -0.05497585982084274, 0.09246237576007843, -0.0693325325846672, 0.715630054473877, 0.7968549132347107, -0.1463049054145813, -0.0915256217122078, -0.01557944342494011, 0.17745208740234375, -0.12164991348981857, -0.024294979870319366, -0.0009478834690526128, 0.04561666026711464, -0.23715245723724365, -0.055162183940410614, 0.006901778746396303, -0.004663204308599234, 0.8228069543838501, 0.8079783320426941, -0.5993289351463318, -0.6510207056999207, -0.00015566246293019503, -0.01760251820087433]","[0.552270770072937, 0.493807852268219, 2.910087823867798, -0.15296629071235657, 0.19201219081878662, 0.7385531067848206, -0.3588562309741974, -1.3483904600143433, 0.026049941778182983, 0.3894043266773224, -0.4206545054912567, 0.46205687522888184, 0.6593260169029236, -0.328475683927536, -0.18421955406665802, -0.6504112482070923, -0.28797486424446106, 0.061063576489686966, 0.5999338030815125, -1.180184006690979, -0.5237579941749573, -0.06842115521430969, 0.553231954574585, 0.33499059081077576, 0.23907360434532166, -1.1075559854507446, -1.3316224813461304, -0.008492305874824524, -0.16312989592552185]"
model_200,legacy_raw,matrix,2,18,71,0.355,right_ankle_roll_link,unresolved_sensor_net,128.06732177734375,[],,False,False,True,not_established,unconfirmed,"net force; pair rows are separate, not assumed exhaustive",0.7720880508422852,"[0.9265956878662109, -0.11244182288646698, -0.17574064433574677, -0.3128775954246521]",0.4203549749277872,"[1.6135106086730957, -1.576680064201355, 0.7720880508422852, 0.9265956878662109, -0.11244182288646698, -0.17574064433574677, -0.3128775954246521, 0.09984954446554184, -0.25493523478507996, -0.342192143201828, -1.9092942476272583, -1.6576141119003296, 0.7665190100669861]","[0.3175892233848572, 0.3385160267353058, 0.3416033387184143, 0.04789026454091072, -0.04994525387883186, 0.11689910292625427, -0.05497585982084274, 0.09246237576007843, -0.0693325325846672, 0.715630054473877, 0.7968549132347107, -0.1463049054145813, -0.0915256217122078, -0.01557944342494011, 0.17745208740234375, -0.12164991348981857, -0.024294979870319366, -0.0009478834690526128, 0.04561666026711464, -0.23715245723724365, -0.055162183940410614, 0.006901778746396303, -0.004663204308599234, 0.8228069543838501, 0.8079783320426941, -0.5993289351463318, -0.6510207056999207, -0.00015566246293019503, -0.01760251820087433]","[0.552270770072937, 0.493807852268219, 2.910087823867798, -0.15296629071235657, 0.19201219081878662, 0.7385531067848206, -0.3588562309741974, -1.3483904600143433, 0.026049941778182983, 0.3894043266773224, -0.4206545054912567, 0.46205687522888184, 0.6593260169029236, -0.328475683927536, -0.18421955406665802, -0.6504112482070923, -0.28797486424446106, 0.061063576489686966, 0.5999338030815125, -1.180184006690979, -0.5237579941749573, -0.06842115521430969, 0.553231954574585, 0.33499059081077576, 0.23907360434532166, -1.1075559854507446, -1.3316224813461304, -0.008492305874824524, -0.16312989592552185]"
model_200,legacy_raw,matrix,3,18,71,0.355,left_wrist_yaw_link,unresolved_sensor_net,5.949002742767334,[],,False,False,True,not_established,unconfirmed,"net force; pair rows are separate, not assumed exhaustive",0.7389017343521118,"[0.6099342107772827, 0.29140615463256836, -0.2987334728240967, 0.6736621856689453]",0.8609970429709392,"[1.3689688444137573, 1.5576739311218262, 0.7389017343521118, 0.6099342107772827, 0.29140615463256836, -0.2987334728240967, 0.6736621856689453, 0.13683602213859558, 0.09096983075141907, -0.9023914337158203, 3.03601336479187, -0.4506061375141144, 0.7262607216835022]","[0.43756845593452454, 0.4154161512851715, 0.5204150676727295, 0.06968052685260773, -0.0007248009205795825, 0.061388444155454636, -0.00827767327427864, 0.16625364124774933, -0.03978079557418823, 0.7842455506324768, 0.7754834890365601, 0.3574904799461365, 0.2801276445388794, -0.006331179291009903, 0.28279009461402893, -0.13654683530330658, 0.0011489709140732884, -0.021334346383810043, 0.017488932237029076, -0.2940094470977783, -0.054603930562734604, 0.008144441060721874, -0.004992514383047819, 0.7851485013961792, 0.8495399355888367, -0.7769911289215088, -0.7956974506378174, 0.14385934174060822, -0.056617725640535355]","[-0.12709760665893555, -0.05520431324839592, -0.0005066574667580426, -0.23086321353912354, 0.7868016362190247, 0.857679545879364, 0.14293792843818665, -0.7848496437072754, -0.29619452357292175, -0.07723325490951538, -0.32792672514915466, 4.406298637390137, 4.666653633117676, 0.22552871704101562, 0.6894770860671997, -0.7830157279968262, -0.4125910699367523, -0.17333102226257324, 0.66628497838974, -1.529588222503662, -0.7204740643501282, -0.07678265869617462, 0.5266963839530945, 0.3637833595275879, 0.020370598882436752, -1.560865879058838, -1.5042896270751953, 2.5865767002105713, 1.154707670211792]"
model_200,legacy_raw,matrix,3,18,71,0.355,left_hip_roll_link,unresolved_sensor_net,5.949002742767334,[],,False,False,True,not_established,unconfirmed,"net force; pair rows are separate, not assumed exhaustive",0.7389017343521118,"[0.6099342107772827, 0.29140615463256836, -0.2987334728240967, 0.6736621856689453]",0.8609970429709392,"[1.3689688444137573, 1.5576739311218262, 0.7389017343521118, 0.6099342107772827, 0.29140615463256836, -0.2987334728240967, 0.6736621856689453, 0.13683602213859558, 0.09096983075141907, -0.9023914337158203, 3.03601336479187, -0.4506061375141144, 0.7262607216835022]","[0.43756845593452454, 0.4154161512851715, 0.5204150676727295, 0.06968052685260773, -0.0007248009205795825, 0.061388444155454636, -0.00827767327427864, 0.16625364124774933, -0.03978079557418823, 0.7842455506324768, 0.7754834890365601, 0.3574904799461365, 0.2801276445388794, -0.006331179291009903, 0.28279009461402893, -0.13654683530330658, 0.0011489709140732884, -0.021334346383810043, 0.017488932237029076, -0.2940094470977783, -0.054603930562734604, 0.008144441060721874, -0.004992514383047819, 0.7851485013961792, 0.8495399355888367, -0.7769911289215088, -0.7956974506378174, 0.14385934174060822, -0.056617725640535355]","[-0.12709760665893555, -0.05520431324839592, -0.0005066574667580426, -0.23086321353912354, 0.7868016362190247, 0.857679545879364, 0.14293792843818665, -0.7848496437072754, -0.29619452357292175, -0.07723325490951538, -0.32792672514915466, 4.406298637390137, 4.666653633117676, 0.22552871704101562, 0.6894770860671997, -0.7830157279968262, -0.4125910699367523, -0.17333102226257324, 0.66628497838974, -1.529588222503662, -0.7204740643501282, -0.07678265869617462, 0.5266963839530945, 0.3637833595275879, 0.020370598882436752, -1.560865879058838, -1.5042896270751953, 2.5865767002105713, 1.154707670211792]"
model_200,legacy_raw,matrix,3,18,71,0.355,left_ankle_roll_link,unresolved_sensor_net,160.05038452148438,[],,False,False,True,not_established,unconfirmed,"net force; pair rows are separate, not assumed exhaustive",0.7389017343521118,"[0.6099342107772827, 0.29140615463256836, -0.2987334728240967, 0.6736621856689453]",0.8609970429709392,"[1.3689688444137573, 1.5576739311218262, 0.7389017343521118, 0.6099342107772827, 0.29140615463256836, -0.2987334728240967, 0.6736621856689453, 0.13683602213859558, 0.09096983075141907, -0.9023914337158203, 3.03601336479187, -0.4506061375141144, 0.7262607216835022]","[0.43756845593452454, 0.4154161512851715, 0.5204150676727295, 0.06968052685260773, -0.0007248009205795825, 0.061388444155454636, -0.00827767327427864, 0.16625364124774933, -0.03978079557418823, 0.7842455506324768, 0.7754834890365601, 0.3574904799461365, 0.2801276445388794, -0.006331179291009903, 0.28279009461402893, -0.13654683530330658, 0.0011489709140732884, -0.021334346383810043, 0.017488932237029076, -0.2940094470977783, -0.054603930562734604, 0.008144441060721874, -0.004992514383047819, 0.7851485013961792, 0.8495399355888367, -0.7769911289215088, -0.7956974506378174, 0.14385934174060822, -0.056617725640535355]","[-0.12709760665893555, -0.05520431324839592, -0.0005066574667580426, -0.23086321353912354, 0.7868016362190247, 0.857679545879364, 0.14293792843818665, -0.7848496437072754, -0.29619452357292175, -0.07723325490951538, -0.32792672514915466, 4.406298637390137, 4.666653633117676, 0.22552871704101562, 0.6894770860671997, -0.7830157279968262, -0.4125910699367523, -0.17333102226257324, 0.66628497838974, -1.529588222503662, -0.7204740643501282, -0.07678265869617462, 0.5266963839530945, 0.3637833595275879, 0.020370598882436752, -1.560865879058838, -1.5042896270751953, 2.5865767002105713, 1.154707670211792]"
model_200,legacy_raw,matrix,3,18,71,0.355,right_ankle_roll_link,unresolved_sensor_net,148.96913146972656,[],,False,False,True,not_established,unconfirmed,"net force; pair rows are separate, not assumed exhaustive",0.7389017343521118,"[0.6099342107772827, 0.29140615463256836, -0.2987334728240967, 0.6736621856689453]",0.8609970429709392,"[1.3689688444137573, 1.5576739311218262, 0.7389017343521118, 0.6099342107772827, 0.29140615463256836, -0.2987334728240967, 0.6736621856689453, 0.13683602213859558, 0.09096983075141907, -0.9023914337158203, 3.03601336479187, -0.4506061375141144, 0.7262607216835022]","[0.43756845593452454, 0.4154161512851715, 0.5204150676727295, 0.06968052685260773, -0.0007248009205795825, 0.061388444155454636, -0.00827767327427864, 0.16625364124774933, -0.03978079557418823, 0.7842455506324768, 0.7754834890365601, 0.3574904799461365, 0.2801276445388794, -0.006331179291009903, 0.28279009461402893, -0.13654683530330658, 0.0011489709140732884, -0.021334346383810043, 0.017488932237029076, -0.2940094470977783, -0.054603930562734604, 0.008144441060721874, -0.004992514383047819, 0.7851485013961792, 0.8495399355888367, -0.7769911289215088, -0.7956974506378174, 0.14385934174060822, -0.056617725640535355]","[-0.12709760665893555, -0.05520431324839592, -0.0005066574667580426, -0.23086321353912354, 0.7868016362190247, 0.857679545879364, 0.14293792843818665, -0.7848496437072754, -0.29619452357292175, -0.07723325490951538, -0.32792672514915466, 4.406298637390137, 4.666653633117676, 0.22552871704101562, 0.6894770860671997, -0.7830157279968262, -0.4125910699367523, -0.17333102226257324, 0.66628497838974, -1.529588222503662, -0.7204740643501282, -0.07678265869617462, 0.5266963839530945, 0.3637833595275879, 0.020370598882436752, -1.560865879058838, -1.5042896270751953, 2.5865767002105713, 1.154707670211792]"
model_200,legacy_raw,matrix,4,18,71,0.355,left_wrist_yaw_link,unresolved_sensor_net,12.739538192749023,[],,False,False,True,not_established,unconfirmed,"net force; pair rows are separate, not assumed exhaustive",0.7499991655349731,"[0.5161342024803162, 0.3149832785129547, -0.3891671895980835, 0.6949387192726135]",1.0487339506125375,"[-1.0670050382614136, -1.475982427597046, 0.7499991655349731, 0.5161342024803162, 0.3149832785129547, -0.3891671895980835, 0.6949387192726135, -0.43405258655548096, -0.2927325665950775, -0.9519376158714294, 4.88377571105957, -0.5366086959838867, 1.8560774326324463]","[0.5080809593200684, 0.3534482419490814, 0.49961405992507935, 0.14077231287956238, 0.032285574823617935, 0.13104650378227234, 0.11518985778093338, 0.17075014114379883, -0.10104347765445709, 0.8220066428184509, 0.7790135741233826, 0.3216414153575897, 0.32203409075737, 0.04106530547142029, 0.3645310699939728, -0.21388323605060577, -0.12010487914085388, -0.021072644740343094, 0.027748433873057365, -0.11831825971603394, -0.017304424196481705, -0.0038764525670558214, 0.006024710834026337, 0.8275948762893677, 0.7651711702346802, -0.5892817974090576, -0.5777425765991211, 0.2615699768066406, -0.02869047410786152]","[1.490377426147461, 0.7463138103485107, 4.891953468322754, 0.18661929666996002, -2.5939443111419678, 0.5483474731445312, 0.11544767022132874, -2.4730117321014404, -0.9059218764305115, -0.05767384171485901, -0.6076676845550537, 0.09177962690591812, 0.540657103061676, 0.0715230405330658, -0.12906299531459808, -1.4466556310653687, -0.7506042122840881, -0.06587471812963486, 0.832084059715271, -1.196615219116211, -0.1633792221546173, -0.09345376491546631, 0.3469356298446655, 0.6623259782791138, -0.1650359034538269, -0.0023384205996990204, -0.3525168299674988, -0.039199359714984894, 1.0572540760040283]"
model_200,legacy_raw,matrix,4,18,71,0.355,left_hip_roll_link,unresolved_sensor_net,12.739538192749023,[],,False,False,True,not_established,unconfirmed,"net force; pair rows are separate, not assumed exhaustive",0.7499991655349731,"[0.5161342024803162, 0.3149832785129547, -0.3891671895980835, 0.6949387192726135]",1.0487339506125375,"[-1.0670050382614136, -1.475982427597046, 0.7499991655349731, 0.5161342024803162, 0.3149832785129547, -0.3891671895980835, 0.6949387192726135, -0.43405258655548096, -0.2927325665950775, -0.9519376158714294, 4.88377571105957, -0.5366086959838867, 1.8560774326324463]","[0.5080809593200684, 0.3534482419490814, 0.49961405992507935, 0.14077231287956238, 0.032285574823617935, 0.13104650378227234, 0.11518985778093338, 0.17075014114379883, -0.10104347765445709, 0.8220066428184509, 0.7790135741233826, 0.3216414153575897, 0.32203409075737, 0.04106530547142029, 0.3645310699939728, -0.21388323605060577, -0.12010487914085388, -0.021072644740343094, 0.027748433873057365, -0.11831825971603394, -0.017304424196481705, -0.0038764525670558214, 0.006024710834026337, 0.8275948762893677, 0.7651711702346802, -0.5892817974090576, -0.5777425765991211, 0.2615699768066406, -0.02869047410786152]","[1.490377426147461, 0.7463138103485107, 4.891953468322754, 0.18661929666996002, -2.5939443111419678, 0.5483474731445312, 0.11544767022132874, -2.4730117321014404, -0.9059218764305115, -0.05767384171485901, -0.6076676845550537, 0.09177962690591812, 0.540657103061676, 0.0715230405330658, -0.12906299531459808, -1.4466556310653687, -0.7506042122840881, -0.06587471812963486, 0.832084059715271, -1.196615219116211, -0.1633792221546173, -0.09345376491546631, 0.3469356298446655, 0.6623259782791138, -0.1650359034538269, -0.0023384205996990204, -0.3525168299674988, -0.039199359714984894, 1.0572540760040283]"
