episode_id,env_id,env_episode_id,episode_return,episode_length,episode_seconds,primary_fall,height_failure,tilt_failure,timeout,command_x_mean,command_y_mean,actual_x_mean,actual_y_mean,velocity_tracking_error_mean,velocity_tracking_mean,self_collision_steps,self_collision_max_N,confirmed_nonfoot_ground_steps,confirmed_nonfoot_ground_max_N,foot_ground_steps,action_abs_mean,action_abs_max,target_joint_limit_steps,actual_joint_limit_steps,target_joint_max_excess_rad,actual_joint_max_excess_rad,nonfinite,seed
0,3,0,-3.7821959312277613,42,0.84,True,False,True,False,-0.18342730402946472,-0.12394765019416809,-0.8221497266065507,0.31331548733370645,0.745221292688733,0.23766783019908916,4,11.753433227539062,0,0.0,80,0.0643225893200863,0.2471543550491333,0,0,0.0,0.0,False,12345
1,0,0,-4.180975248425966,44,0.88,True,True,False,False,0.04839484393596649,0.43398529291152954,0.13508213819427925,-1.0531971366568045,1.3524225611578335,0.007560961565990721,20,23.19517707824707,0,0.0,79,0.061680275862189854,0.2398856282234192,0,0,0.0,0.0,False,12345
2,5,0,-4.23583647236228,46,0.92,True,True,False,False,0.013546377420425415,-0.4562090039253235,-0.6087157382913257,0.6131334855504658,1.197520631810893,0.021511571551165787,66,72.22427368164062,0,0.0,87,0.06674471327468105,0.270351767539978,0,7,0.0,9.351968765258789e-05,False,12345
3,1,0,-3.5752624336164445,50,1.0,True,True,False,False,0.13246354460716248,-0.32669180631637573,-0.38903046637773514,0.8252947151660919,1.1463279163837432,0.03317365935159586,10,33.74073028564453,0,0.0,95,0.06380535244941711,0.2911449372768402,0,0,0.0,0.0,False,12345
4,2,0,-4.708548953989521,50,1.0,True,True,False,False,0.012998336553573608,0.006556453704833984,1.0047269123792648,-0.3491060781478882,0.9524508675932885,0.23697391955946273,0,0.0,0,0.0,96,0.062303605526685714,0.2583903670310974,0,10,0.0,0.003611147403717041,False,12345
5,4,0,-3.447397508425638,51,1.02,True,True,False,False,0.8618363738059998,0.005036473274230957,-0.015253369860789356,0.9665836475643457,1.2906846322265326,0.004955892312502767,14,43.003543853759766,0,0.0,96,0.0652318074568814,0.2538852393627167,0,0,0.0,0.0,False,12345
6,7,0,-4.065756381445681,68,1.36,True,True,False,False,-0.4304376244544983,0.11374980211257935,-0.26372623640824766,-0.6439631335875567,0.7677594848415431,0.24230938214143005,14,14.583767890930176,0,0.0,128,0.06359115610008731,0.2584465444087982,0,12,0.0,0.0006255507469177246,False,12345
7,6,0,-3.3800951042212546,77,1.54,True,True,True,False,0.2095775455236435,0.05841398239135742,0.6610644186617105,0.15251040850560388,0.5068827363868038,0.5905635090575625,6,5.5090155601501465,0,0.0,148,0.06495938498478432,0.2604321539402008,0,14,0.0,0.003266572952270508,False,12345
8,3,1,-3.7871533614525106,43,0.86,True,False,True,False,-0.18342730402946472,-0.12394765019416809,-0.861083793085675,0.3149357361848964,0.7645839376505031,0.23051368595685723,4,32.96415710449219,0,0.0,82,0.06590867666311043,0.26427406072616577,0,0,0.0,0.0,False,12345
9,0,1,-4.194071127043571,45,0.9,True,True,False,False,0.04839484393596649,0.43398529291152954,0.15794620083438027,-1.0653917948404947,1.3526612361272177,0.007600906272685787,18,25.405927658081055,0,0.0,80,0.06478865328762266,0.25369787216186523,0,0,0.0,0.0,False,12345
10,5,1,-4.225916398514528,46,0.92,True,True,False,False,0.013546377420425415,-0.4562090039253235,-0.6018122317998306,0.6375208134236543,1.208982659422833,0.020808735856548667,58,61.02193832397461,0,0.0,87,0.06761079767475957,0.25104665756225586,0,5,0.0,8.797645568847656e-05,False,12345
11,2,1,-4.76017530343961,50,1.0,True,True,False,False,0.0,0.0,1.000683798789978,-0.37871469974517824,0.9438458585739136,0.2505854559667023,0,0.0,0,0.0,96,0.06010504439473152,0.2385834902524948,0,11,0.0,0.0014018416404724121,False,12345
12,1,1,-3.579432047205046,51,1.02,True,True,False,False,0.13246354460716248,-0.32669180631637573,-0.3634643090121886,0.8617669741312662,1.1602374572379917,0.03271192668044792,12,406.0995788574219,0,0.0,94,0.06474927286891376,0.25788846611976624,0,0,0.0,0.0,False,12345
13,4,1,-3.470390721806325,52,1.04,True,True,False,False,0.8618363738059998,0.005036473274230957,-0.029551687775752865,0.9690787242009089,1.2874771448282094,0.0051245916146215745,12,71.55841827392578,0,0.0,99,0.06419399968133523,0.2780052721500397,0,2,0.0,0.00048086047172546387,False,12345
14,3,2,-3.8253567445790395,43,0.86,True,False,True,False,-0.18342730402946472,-0.12394765019416809,-0.8374200830625933,0.3188627299874328,0.7587185606013896,0.2319826050798563,2,0.9221853017807007,0,0.0,82,0.06520032068324644,0.28102409839630127,0,0,0.0,0.0,False,12345
15,0,2,-4.1831450110476,45,0.9,True,True,False,False,0.04839484393596649,0.43398529291152954,0.1486634623673227,-1.050530015759998,1.3445556124051412,0.008147394663632923,20,210.28018188476562,0,0.0,80,0.06124758182300462,0.24037133157253265,0,0,0.0,0.0,False,12345
16,7,1,-4.079309059856314,69,1.3800000000000001,True,True,False,False,-0.4304376244544983,0.11374980211257935,-0.25628786804019543,-0.6276484162047289,0.7657073066718336,0.24510359455124495,10,34.75751876831055,0,0.0,130,0.061850360284248986,0.25619155168533325,0,11,0.0,0.0005632340908050537,False,12345
17,5,2,-4.220814741085633,46,0.92,True,True,False,False,0.013546377420425415,-0.4562090039253235,-0.6064063517943673,0.6185705396144286,1.1965926328431005,0.02087836153556118,58,5.220401287078857,0,0.0,88,0.06646421381636806,0.2588120102882385,0,5,0.0,9.441375732421875e-05,False,12345
18,2,2,-4.704479641310172,51,1.02,True,True,True,False,0.0,0.0,1.0347640707212336,-0.3451986534922731,0.9518324913931828,0.25253320416306435,0,0.0,0,0.0,98,0.060415032812777686,0.24474114179611206,0,10,0.0,0.0013627409934997559,False,12345
19,1,2,-3.55985556745145,51,1.02,True,True,False,False,0.13246354460716248,-0.32669180631637573,-0.37297440334862353,0.8428725459996391,1.1519653703652175,0.0344929662169014,6,22.845218658447266,0,0.0,95,0.06421908699706488,0.2589590847492218,0,0,0.0,0.0,False,12345
20,6,1,-3.3691493869191618,76,1.52,True,True,True,False,0.2095775455236435,0.05841398239135742,0.6865279202128908,0.18933798191382697,0.5279985840285295,0.5773672372358162,4,5.15327787399292,0,0.0,147,0.06517026249907519,0.2643570899963379,0,15,0.0,0.002772986888885498,False,12345
