update,raw_action_abs_p95,raw_action_abs_p99,raw_action_abs_max,policy_mean_abs_p95,policy_mean_abs_p99,policy_mean_abs_max,policy_std_mean,target_limit_violation_steps,target_limit_max_excess_rad,actual_limit_violation_steps,actual_limit_max_excess_rad,joint_torque_abs_max,contact_sensor_force_max_N,contact_sensor_contact_elements,robot_ground_contact_steps_proxy,primary_fall_ratio,timeout_ratio,terminated_ratio,ratio_clip_fraction,adaptive_learning_rate_end,kl_mean,gradient_norm,entropy_loss,value_loss,surrogate_loss,velocity_tracking_error_mean,velocity_tracking_mean,ratio_metrics_status
14,0.4470987915992737,0.5929582118988037,0.9258782863616943,0.21154403686523438,0.2781926393508911,0.4667261838912964,0.20301568508148193,31,0.09853586554527283,172,0.00649791955947876,47.059730529785156,907.8009033203125,3071,3071,0.020833333333333332,0.0,0.020833333333333332,,1e-05,0.021822335198521614,4.188352108001709,5.067748069763184,0.2489403337240219,-0.05957068130373955,0.925217866897583,0.18528708815574646,MISSING_BROADCASTED_DIAGNOSTIC
15,0.45459914207458496,0.6064817905426025,1.0991121530532837,0.2147769182920456,0.2842313349246979,0.46806713938713074,0.2033551037311554,42,0.16769027709960938,197,0.003182828426361084,49.81170654296875,1129.8966064453125,3029,3029,0.020833333333333332,0.0,0.020833333333333332,,1e-05,0.015914851799607277,4.3382887840271,5.0381011962890625,0.1931440830230713,-0.05847923085093498,0.9358462691307068,0.21742010116577148,MISSING_BROADCASTED_DIAGNOSTIC
16,0.4555884599685669,0.6011642813682556,0.9492538571357727,0.21530695259571075,0.27975475788116455,0.46161627769470215,0.2034292072057724,40,0.13232210278511047,187,0.004867613315582275,51.91453552246094,879.6593017578125,3021,3021,0.018880208333333332,0.0,0.018880208333333332,,1e-05,0.01664806716144085,4.221887588500977,5.028531551361084,0.19979940354824066,-0.058199942111968994,0.9495746493339539,0.18836140632629395,MISSING_BROADCASTED_DIAGNOSTIC
17,0.4553663730621338,0.5985798835754395,1.060385823249817,0.2163071632385254,0.28539764881134033,0.4750703275203705,0.20352129638195038,25,0.11383599042892456,254,0.0032369494438171387,52.74227523803711,1158.84033203125,3040,3040,0.020833333333333332,0.0,0.020833333333333332,,1e-05,0.015238908119499683,4.089025497436523,5.015285015106201,0.1535634994506836,-0.05677448585629463,0.9585721492767334,0.15787671506404877,MISSING_BROADCASTED_DIAGNOSTIC
18,0.4598273038864136,0.5969379544258118,0.9582706689834595,0.21735692024230957,0.28930655121803284,0.5110343098640442,0.20359696447849274,30,0.10148495435714722,224,0.004339993000030518,50.469757080078125,911.326904296875,3161,3161,0.021484375,0.0,0.021484375,,1e-05,0.017508365213871002,4.106050968170166,5.021450042724609,0.1377459019422531,-0.05815054103732109,0.9605716466903687,0.18642675876617432,MISSING_BROADCASTED_DIAGNOSTIC
19,0.45134875178337097,0.5932132601737976,1.0008656978607178,0.21658049523830414,0.28623878955841064,0.4823773205280304,0.2034597247838974,23,0.1551867425441742,192,0.004297435283660889,50.817474365234375,1030.71875,3174,3174,0.020182291666666668,0.0,0.020182291666666668,,1e-05,0.01664981059730053,4.051456451416016,5.032668590545654,0.1348343789577484,-0.057554762810468674,0.9397710561752319,0.2021411955356598,MISSING_BROADCASTED_DIAGNOSTIC
20,0.45056286454200745,0.5936686992645264,0.9507842063903809,0.21502050757408142,0.28415778279304504,0.47546252608299255,0.203443244099617,31,0.09274396300315857,196,0.005795180797576904,49.705562591552734,1069.33203125,3091,3091,0.01953125,0.0,0.01953125,,1e-05,0.021647069603204727,3.9619247913360596,5.041957378387451,0.11191993206739426,-0.06105799600481987,1.0167269706726074,0.16359874606132507,MISSING_BROADCASTED_DIAGNOSTIC
21,0.4547000825405121,0.6000424027442932,1.0091462135314941,0.21841499209403992,0.28455784916877747,0.47508466243743896,0.20333708822727203,34,0.09194111824035645,188,0.004725277423858643,47.8243293762207,753.9978637695312,3054,3054,0.020833333333333332,0.0,0.020833333333333332,,1e-05,0.017435837537050247,4.121405601501465,5.0464677810668945,0.11656805127859116,-0.05891982838511467,0.9876712560653687,0.20629267394542694,MISSING_BROADCASTED_DIAGNOSTIC
22,0.4546493589878082,0.6028174757957458,0.9538270831108093,0.2219819873571396,0.2901410460472107,0.49566376209259033,0.20334510505199432,31,0.12033379077911377,136,0.0047498345375061035,47.472084045410156,1065.072998046875,3044,3044,0.020182291666666668,0.0,0.020182291666666668,,1e-05,0.016962744295597076,4.001676559448242,5.0572638511657715,0.09998539090156555,-0.06043904647231102,0.9946929812431335,0.1659734547138214,MISSING_BROADCASTED_DIAGNOSTIC
23,0.45162439346313477,0.5991917252540588,1.0102885961532593,0.22121000289916992,0.2889898419380188,0.4587162733078003,0.20322246849536896,40,0.12174451351165771,215,0.00574415922164917,44.256080627441406,1129.1705322265625,3074,3074,0.022135416666666668,0.0,0.022135416666666668,,1e-05,0.01704302802681923,3.9229156970977783,5.065072059631348,0.08088956028223038,-0.06125537306070328,1.0675413608551025,0.15643230080604553,MISSING_BROADCASTED_DIAGNOSTIC
24,0.4587322771549225,0.6003823280334473,0.9602999687194824,0.22190922498703003,0.28781917691230774,0.47702741622924805,0.20320716500282288,33,0.10544374585151672,149,0.0028647780418395996,47.73860168457031,896.29296875,3117,3117,0.016927083333333332,0.0,0.016927083333333332,,1e-05,0.018402179703116417,3.9098117351531982,5.067023754119873,0.07717978209257126,-0.05910537764430046,0.9772968292236328,0.1716884821653366,MISSING_BROADCASTED_DIAGNOSTIC
25,0.45473799109458923,0.5969884395599365,1.0171349048614502,0.22194363176822662,0.2907530665397644,0.5121535062789917,0.2032039314508438,33,0.08615726232528687,175,0.005846619606018066,47.69434356689453,1133.1435546875,3023,3023,0.024739583333333332,0.0,0.024739583333333332,,1e-05,0.018029753118753433,3.845872640609741,5.067681312561035,0.07936204969882965,-0.06050115451216698,0.9923790693283081,0.18317753076553345,MISSING_BROADCASTED_DIAGNOSTIC
26,0.4576696455478668,0.6001012325286865,0.9259289503097534,0.22051627933979034,0.2937588095664978,0.4988345801830292,0.20319081842899323,31,0.10028928518295288,129,0.0033829212188720703,47.872257232666016,1156.9141845703125,3113,3113,0.018229166666666668,0.0,0.018229166666666668,,1e-05,0.016524633392691612,3.946279525756836,5.066719055175781,0.08171463757753372,-0.058914102613925934,0.9423757791519165,0.19439354538917542,MISSING_BROADCASTED_DIAGNOSTIC
27,0.45681214332580566,0.6011010408401489,1.211435317993164,0.22313271462917328,0.2959176003932953,0.47863686084747314,0.20322269201278687,26,0.07045605778694153,185,0.0030260086059570312,54.5052375793457,891.4227905273438,3022,3022,0.020833333333333332,0.0,0.020833333333333332,,1e-05,0.017782878130674362,3.946432113647461,5.062116622924805,0.07203212380409241,-0.06009065732359886,0.9483245611190796,0.20472705364227295,MISSING_BROADCASTED_DIAGNOSTIC
