minibatch,epoch,batch_in_epoch,samples,kl_timing,kl_mean,kl_max,analytic_kl_mean,kl_formula_max_abs_error,old_log_prob_mean,current_log_prob_mean,log_prob_max_abs_change,clip_fraction,policy_mean_abs_mean,policy_std_mean,policy_std_min,policy_std_max,lr_scalar_before_kl,lr_scalar_after_kl_before_step,lr_group_before_kl,lr_group_after_kl_before_step,grad_norm_preclip,param_delta_max_abs,param_delta_l2,lr_scalar_after_step,lr_group_after_step
11,3,3,384,before_current_optimizer_step,1.1951804161071777,4.539076805114746,1.1948902606964111,0.00029087066650390625,5.28046989440918,4.137572288513184,8.305350303649902,0.890625,0.08817411214113235,0.2006428986787796,0.19584590196609497,0.20410200953483582,3.9018442310623374e-05,2.6012294873748917e-05,3.9018442310623374e-05,2.6012294873748917e-05,1.9956398010253906,2.5976449251174927e-05,0.004420348771583859,2.6012294873748917e-05,2.6012294873748917e-05
12,3,4,384,before_current_optimizer_step,1.2659368515014648,4.7122039794921875,1.2656466960906982,0.00029087066650390625,5.4826765060424805,4.1472296714782715,8.817059516906738,0.890625,0.08714219927787781,0.2006511092185974,0.1958433836698532,0.20412206649780273,2.6012294873748917e-05,1.734152991583261e-05,2.6012294873748917e-05,1.734152991583261e-05,2.6784286499023438,1.757591962814331e-05,0.002903050810879754,1.734152991583261e-05,1.734152991583261e-05
13,4,1,384,before_current_optimizer_step,1.3633239269256592,4.526678562164307,1.3630340099334717,0.0002903938293457031,5.711175441741943,4.4653215408325195,13.779647827148438,0.9401041865348816,0.08894489705562592,0.20065666735172272,0.19584354758262634,0.2041366547346115,1.734152991583261e-05,1.1561019943888407e-05,1.734152991583261e-05,1.1561019943888407e-05,0.8386039733886719,1.1824071407318115e-05,0.001988413991466768,1.1561019943888407e-05,1.1561019943888407e-05
14,4,2,384,before_current_optimizer_step,1.2712507247924805,4.4504499435424805,1.2709603309631348,0.00029087066650390625,5.462371826171875,3.9526357650756836,11.836427688598633,0.921875,0.08801212161779404,0.2006606161594391,0.19584573805332184,0.20414595305919647,1.1561019943888407e-05,1e-05,1.1561019943888407e-05,1e-05,1.6036109924316406,1.0404735803604126e-05,0.001770488336109018,1e-05,1e-05
15,4,3,384,before_current_optimizer_step,1.1867951154708862,4.517396450042725,1.1865053176879883,0.0002903938293457031,5.28046989440918,4.146821022033691,8.295413970947266,0.8958333730697632,0.08810677379369736,0.20066386461257935,0.19584791362285614,0.2041533887386322,1e-05,1e-05,1e-05,1e-05,1.9990615844726562,1.0445713996887207e-05,0.001775271998500417,1e-05,1e-05
16,4,4,384,before_current_optimizer_step,1.2589199542999268,4.698135852813721,1.2586301565170288,0.00029015541076660156,5.4826765060424805,4.152355194091797,8.801328659057617,0.8932291865348816,0.08709624409675598,0.20066732168197632,0.195850670337677,0.20415976643562317,1e-05,1e-05,1e-05,1e-05,2.6118850708007812,1.055002212524414e-05,0.0017523429439613362,1e-05,1e-05
17,5,1,384,before_current_optimizer_step,1.3548263311386108,4.507882595062256,1.354536533355713,0.0002903938293457031,5.711175441741943,4.474353313446045,13.712484359741211,0.9375,0.08887867629528046,0.20067092776298523,0.19585415720939636,0.20416712760925293,1e-05,1e-05,1e-05,1e-05,0.8689422607421875,1.0721385478973389e-05,0.0017965512200736628,1e-05,1e-05
18,5,2,384,before_current_optimizer_step,1.2633610963821411,4.406856536865234,1.2630709409713745,0.0002906322479248047,5.462371826171875,3.963299512863159,11.775459289550781,0.9166666865348816,0.08795467764139175,0.2006746083498001,0.19585882127285004,0.2041742354631424,1e-05,1e-05,1e-05,1e-05,1.6657524108886719,1.0700896382331848e-05,0.0018402959734696335,1e-05,1e-05
19,5,3,384,before_current_optimizer_step,1.1790634393692017,4.484758377075195,1.178773283958435,0.00029075145721435547,5.28046989440918,4.155063152313232,8.262251853942871,0.9036458730697632,0.08804216980934143,0.20067811012268066,0.19586357474327087,0.20418083667755127,1e-05,1e-05,1e-05,1e-05,1.97076416015625,1.0758638381958008e-05,0.0018341973614285506,1e-05,1e-05
20,5,4,384,before_current_optimizer_step,1.2505120038986206,4.671765327453613,1.2502224445343018,0.00029015541076660156,5.4826765060424805,4.159990310668945,8.770200729370117,0.8958333730697632,0.087030790746212,0.2006816565990448,0.19586928188800812,0.20418623089790344,1e-05,1e-05,1e-05,1e-05,2.434337615966797,1.0825693607330322e-05,0.0018089146503018159,1e-05,1e-05
