episode_id,env_id,env_episode_id,episode_return,episode_length,episode_seconds,primary_fall,height_failure,tilt_failure,timeout,command_x_mean,command_y_mean,actual_x_mean,actual_y_mean,velocity_tracking_error_mean,velocity_tracking_mean,self_collision_steps,self_collision_max_N,confirmed_nonfoot_ground_steps,confirmed_nonfoot_ground_max_N,foot_ground_steps,action_abs_mean,action_abs_max,target_joint_limit_steps,actual_joint_limit_steps,target_joint_max_excess_rad,actual_joint_max_excess_rad,nonfinite,seed
19,4,2,-3.9786150017753243,9,0.18,True,False,True,False,0.8618363738059998,0.005036473274230957,1.0883629504177306,0.47142452994982403,0.6620100670390658,0.23172718555563027,2,157.99057006835938,0,0.0,12,0.5683800578117371,3.3401761054992676,8,0,0.8778411746025085,0.0,False,12345
20,7,2,-4.090042221185286,9,0.18,True,False,True,False,-0.4304376244544983,0.11374980211257935,1.10781748758422,-0.1635235912270016,0.8466304507520463,0.11662120956720577,4,1814.6641845703125,0,0.0,9,0.654978570010927,4.146485328674316,9,0,1.2985544204711914,0.0,False,12345
21,3,2,-3.9485464030876756,10,0.2,True,False,True,False,-0.18342730402946472,-0.12394765019416809,1.0495550096035005,0.24605897665023804,0.6001812368631363,0.3091140488162637,2,5250.67138671875,0,0.0,10,0.6383311063051224,3.9193661212921143,10,1,1.1989452838897705,0.00019466876983642578,False,12345
22,5,2,-4.099900038447231,10,0.2,True,False,True,False,0.013546377420425415,-0.4562090039253235,0.816353864967823,0.32716613113880155,0.8588155508041382,0.05458355918526649,0,0.0,0,0.0,10,0.5493012249469758,3.4193146228790283,10,0,0.9796339869499207,0.0,False,12345
23,6,2,-3.966945616324665,10,0.2,True,False,True,False,0.2095775455236435,0.05841398239135742,1.2329156190156936,0.047280272096395494,0.31036958545446397,0.6633999913930893,4,2114.298583984375,0,0.0,10,0.6118603587150574,3.541444778442383,10,1,1.0331974029541016,0.00016051530838012695,False,12345
24,0,3,-4.080620292108506,8,0.16,True,False,True,False,0.04839484393596649,0.43398529291152954,1.6774803083389997,-0.4410245269536972,1.2778452560305595,0.007219268032258697,0,0.0,0,0.0,9,0.638501975685358,3.84212327003479,8,0,1.1650681495666504,0.0,False,12345
25,1,3,-4.02664397074841,9,0.18,True,False,True,False,0.13246354460716248,-0.32669180631637573,1.3547889079070754,0.4462641444471147,0.8816357188754611,0.06675909521679084,2,583.6458740234375,0,0.0,10,0.6064534717135959,3.5451250076293945,9,0,1.0193040370941162,0.0,False,12345
26,2,3,-4.34085681848228,9,0.18,True,False,True,False,0.0,0.0,1.4481869902875688,-0.20009128749370575,0.879876669910219,0.16780330845439392,0,0.0,0,0.0,11,0.5819985138045417,3.5813283920288086,9,0,1.050689458847046,0.0,False,12345
27,4,3,-3.9671325967647135,9,0.18,True,False,True,False,0.8618363738059998,0.005036473274230957,1.1444734815094206,0.47682123714023167,0.666541897588306,0.2264140316595634,2,169.71337890625,0,0.0,13,0.5707405441337161,3.3890862464904785,9,0,0.9663764834403992,0.0,False,12345
28,7,3,-4.093551134865265,9,0.18,True,False,True,False,-0.4304376244544983,0.11374980211257935,1.1572158485651016,-0.15891259246402317,0.8386728664239248,0.12128208639721076,2,3273.067626953125,0,0.0,9,0.6678309672408633,4.16008996963501,9,0,1.3045213222503662,0.0,False,12345
29,3,3,-3.945969526655972,10,0.2,True,False,True,False,-0.18342730402946472,-0.12394765019416809,1.0054758943617343,0.24189647734165193,0.5986494690179824,0.3054840672761202,2,3033.744384765625,0,0.0,10,0.6174120306968689,3.7598764896392822,10,1,1.1289966106414795,0.00012087821960449219,False,12345
30,5,3,-4.093690432026051,10,0.2,True,False,True,False,0.013546377420425415,-0.4562090039253235,0.77316053211689,0.3330725461244583,0.8540305674076081,0.056537742540240285,0,0.0,0,0.0,10,0.558037742972374,3.4744668006896973,9,0,1.0038223266601562,0.0,False,12345
31,6,3,-3.95325318176765,10,0.2,True,False,True,False,0.2095775455236435,0.05841398239135742,1.2895848229527473,0.05799920037388802,0.2935570292174816,0.6838154852390289,6,5308.86669921875,0,0.0,9,0.6368303269147872,3.6411399841308594,10,1,1.0237367153167725,0.00012969970703125,False,12345
