update,raw_action_abs_p95,raw_action_abs_p99,raw_action_abs_max,policy_mean_abs_p95,policy_mean_abs_p99,policy_mean_abs_max,policy_std_mean,target_limit_violation_steps,target_limit_max_excess_rad,actual_limit_violation_steps,actual_limit_max_excess_rad,joint_torque_abs_max,contact_sensor_force_max_N,contact_sensor_contact_elements,robot_ground_contact_steps_proxy,primary_fall_ratio,timeout_ratio,terminated_ratio,ratio_clip_fraction,adaptive_learning_rate_end,kl_mean,gradient_norm,entropy_loss,value_loss,surrogate_loss
11,0.4488588273525238,0.5894991755485535,0.928757905960083,0.21221409738063812,0.27852490544319153,0.4337305724620819,0.2025306522846222,29,0.13277533650398254,190,0.004839658737182617,48.54869079589844,784.090087890625,3025,3025,0.0234375,0.0,0.0234375,,1e-05,,4.408458709716797,5.143819332122803,0.450297087430954,-0.059830497950315475
12,0.44986823201179504,0.5934635996818542,0.9679309129714966,0.21498830616474152,0.2841208875179291,0.49705907702445984,0.2027757167816162,25,0.05121311545372009,146,0.004712939262390137,53.843074798583984,1157.6688232421875,3066,3066,0.018229166666666668,0.0,0.018229166666666668,,1e-05,,4.2977495193481445,5.115972518920898,0.3132685124874115,-0.05882114917039871
13,0.45229965448379517,0.5891169905662537,0.9803242087364197,0.2140188068151474,0.2811347544193268,0.4856240749359131,0.20291313529014587,28,0.168148010969162,189,0.003652215003967285,48.387916564941406,1164.4302978515625,3012,3012,0.01953125,0.0,0.01953125,,1e-05,,4.4886155128479,5.101293087005615,0.3131473958492279,-0.056605465710163116
14,0.4470987915992737,0.5929582118988037,0.9258782863616943,0.21154403686523438,0.2781926393508911,0.4667261838912964,0.20301568508148193,31,0.09853586554527283,172,0.00649791955947876,47.059730529785156,907.8009033203125,3071,3071,0.020833333333333332,0.0,0.020833333333333332,,1e-05,,4.188352108001709,5.067748069763184,0.2489403337240219,-0.05957068130373955
15,0.45459914207458496,0.6064817905426025,1.0991121530532837,0.2147769182920456,0.2842313349246979,0.46806713938713074,0.2033551037311554,42,0.16769027709960938,197,0.003182828426361084,49.81170654296875,1129.8966064453125,3029,3029,0.020833333333333332,0.0,0.020833333333333332,,1e-05,,4.3382887840271,5.0381011962890625,0.1931440830230713,-0.05847923085093498
16,0.4555884599685669,0.6011642813682556,0.9492538571357727,0.21530695259571075,0.27975475788116455,0.46161627769470215,0.2034292072057724,40,0.13232210278511047,187,0.004867613315582275,51.91453552246094,879.6593017578125,3021,3021,0.018880208333333332,0.0,0.018880208333333332,,1e-05,,4.221887588500977,5.028531551361084,0.19979940354824066,-0.058199942111968994
17,0.4553663730621338,0.5985798835754395,1.060385823249817,0.2163071632385254,0.28539764881134033,0.4750703275203705,0.20352129638195038,25,0.11383599042892456,254,0.0032369494438171387,52.74227523803711,1158.84033203125,3040,3040,0.020833333333333332,0.0,0.020833333333333332,,1e-05,,4.089025497436523,5.015285015106201,0.1535634994506836,-0.05677448585629463
18,0.4598273038864136,0.5969379544258118,0.9582706689834595,0.21735692024230957,0.28930655121803284,0.5110343098640442,0.20359696447849274,30,0.10148495435714722,224,0.004339993000030518,50.469757080078125,911.326904296875,3161,3161,0.021484375,0.0,0.021484375,,1e-05,,4.106050968170166,5.021450042724609,0.1377459019422531,-0.05815054103732109
19,0.45134875178337097,0.5932132601737976,1.0008656978607178,0.21658049523830414,0.28623878955841064,0.4823773205280304,0.2034597247838974,23,0.1551867425441742,192,0.004297435283660889,50.817474365234375,1030.71875,3174,3174,0.020182291666666668,0.0,0.020182291666666668,,1e-05,,4.051456451416016,5.032668590545654,0.1348343789577484,-0.057554762810468674
20,0.45056286454200745,0.5936686992645264,0.9507842063903809,0.21502050757408142,0.28415778279304504,0.47546252608299255,0.203443244099617,31,0.09274396300315857,196,0.005795180797576904,49.705562591552734,1069.33203125,3091,3091,0.01953125,0.0,0.01953125,,1e-05,,3.9619247913360596,5.041957378387451,0.11191993206739426,-0.06105799600481987
